name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,code,position,init_price,team_code
Aaron Connolly,0,0,-3,0,0.3,78,7,2,0,3.4,1.2,2020-09-14T19:15:00Z,45,8,0,0,0,0,1,0,32205,3,1,32.0,1,0,0,0,55,True,0,ARNKNL,233425,4,52,36
Aaron Cresswell,0,0,11,0,11.2,435,6,2,0,2.2,10.4,2020-09-12T19:00:00Z,90,4,0,0,0,0,1,0,70232,2,0,0.0,1,0,0,0,50,True,0,ARNKRSL,55459,2,57,21
Aaron Mooy,0,0,0,0,0.0,60,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,8,0,0,0,0,1,0,2010,3,1,0.0,0,0,0,0,50,True,0,ARNM,74471,3,50,36
Aaron Ramsdale,0,0,12,0,0.0,483,8,2,0,1.8,18.2,2020-09-14T17:00:00Z,90,39,0,0,0,0,1,2,462939,2,0,0.0,1,0,0,0,50,True,0,ARNRMSTL,225321,1,46,49
Abdoulaye DoucourÃ©,0,0,20,1,44.6,512,4,0,0,6.9,20.4,2020-09-13T15:30:00Z,90,6,0,0,0,0,1,0,143040,1,0,4.0,3,0,0,0,55,False,0,APTLTKR,121599,3,51,11
Aboubakar Kamara,0,0,-2,0,1.8,190,2,3,0,0.2,0.0,2020-09-12T11:30:00Z,62,3,0,0,0,0,1,0,6711,3,0,5.0,2,0,0,0,50,True,0,APPKRKMR,197030,3,48,54
Adama TraorÃ©,0,0,6,1,1.8,465,8,0,0,3.2,12.8,2020-09-14T17:00:00Z,90,49,0,0,0,0,1,0,1189095,2,0,17.0,3,0,0,0,65,False,0,ATMTRR,159533,3,60,39
Adam Forshaw,0,0,0,0,0.0,199,3,0,0,0.0,0.0,2020-09-12T16:30:00Z,0,14,0,0,0,0,1,0,2009,3,4,0.0,0,0,0,0,50,False,0,ATMFRX,80179,3,48,2
Adam Lallana,0,0,6,0,27.2,54,7,1,0,3.6,6.8,2020-09-14T19:15:00Z,44,8,0,0,0,0,1,0,78657,3,1,2.0,1,0,0,0,65,True,0,ATMLLN,39155,3,62,36
Adam Webster,0,0,14,0,11.8,66,7,3,0,2.8,14.8,2020-09-14T19:15:00Z,90,8,0,0,0,0,1,0,187445,3,1,1.0,1,0,0,0,45,True,0,ATMPSTR,110735,2,43,36
Adrien Silva,0,0,0,0,0.0,220,5,0,0,0.0,0.0,2020-09-13T13:00:00Z,0,35,0,0,0,0,1,0,39204,3,0,0.0,0,0,0,0,45,False,0,ATRNSLF,46483,3,44,13
AdriÃ¡n San Miguel del Castillo,0,0,0,0,0.0,245,3,0,0,0.0,0.0,2020-09-12T16:30:00Z,0,2,0,0,0,0,1,0,18419,3,4,0.0,0,0,0,0,45,True,0,ATRNKSTLTLMKLSN,60706,1,42,14
Ahmed El-Sayed Hegazy,0,0,0,0,0.0,414,5,0,0,0.0,0.0,2020-09-13T13:00:00Z,0,13,0,0,0,0,1,0,74895,3,0,0.0,0,0,0,0,45,True,0,AMTLKSST,77777,2,41,35
Ainsley Maitland-Niles,0,0,21,1,2.8,15,2,0,0,1.7,10.2,2020-09-12T11:30:00Z,90,54,0,0,0,0,1,0,112927,3,0,4.0,6,0,0,0,50,False,0,ANSLMTLNTNLS,154043,2,46,35
Albian Ajeti,0,0,0,0,0.0,447,6,0,0,0.0,0.0,2020-09-12T19:00:00Z,0,4,0,0,0,0,1,0,409,2,0,0.0,0,0,0,0,55,True,0,AJTLPN,181008,4,55,21
Aleksandar MitroviÄ,0,0,3,0,0.3,184,2,0,0,1.0,3.0,2020-09-12T11:30:00Z,27,3,0,0,0,0,1,0,1435176,3,0,7.0,1,0,0,0,60,True,0,ALKSNTRMTRF,128389,4,55,54
Alexandre Lacazette,0,1,29,1,12.7,6,2,0,1,9.9,38.6,2020-09-12T11:30:00Z,86,54,0,0,0,0,1,0,196064,3,0,48.0,7,0,0,0,85,False,0,ALKSNTRLKST,59966,4,84,3
Alexis Mac Allister,0,0,0,0,0.0,80,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,8,0,0,0,0,1,0,3939,3,1,0.0,0,0,0,0,55,True,0,ALKSSLSTRMK,243016,3,53,36
Alex Iwobi,0,0,0,0,0.0,159,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,6,0,0,0,0,1,0,10789,1,0,0.0,0,0,0,0,60,False,0,ALKSP,153133,3,59,11
Alex McCarthy,0,0,17,0,0.0,363,1,1,0,2.3,22.6,2020-09-12T14:00:00Z,90,31,0,0,0,0,1,2,1400435,0,1,0.0,2,0,0,0,45,False,0,ALKSMKR0,58376,1,44,20
Alex Oxlade-Chamberlain,0,0,0,0,0.0,248,3,0,0,0.0,0.0,2020-09-12T16:30:00Z,0,2,0,0,0,0,1,0,3207,3,4,0.0,0,0,0,0,65,True,0,ALKSXMPRLNKSLT,81880,3,63,14
Alfie Mawson,0,0,0,0,0.0,185,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,3,0,0,0,0,1,0,1789,3,0,0.0,0,0,0,0,45,True,0,ALFMSN,149266,2,43,54
Alireza Jahanbakhsh,0,0,3,0,0.7,71,7,0,0,0.5,4.4,2020-09-14T19:15:00Z,11,8,0,0,0,0,1,0,3104,3,1,0.0,1,0,0,0,55,True,0,ALRSJHNPKX,165210,3,54,36
Alisson Ramses Becker,0,0,9,0,0.0,252,3,3,0,0.4,3.8,2020-09-12T16:30:00Z,90,2,0,0,0,0,1,0,721549,3,4,0.0,1,0,0,0,60,True,0,ALSNPKRRMSS,116535,1,60,14
Allan Marques Loureiro,0,0,16,1,3.4,502,4,0,0,2.1,18.0,2020-09-13T15:30:00Z,90,6,0,0,0,0,1,0,75335,1,0,0.0,3,0,0,0,55,False,0,ALNLRRMRKS,119765,3,52,11
Allan Saint-Maximin,0,0,7,1,2.8,338,6,0,0,1.2,3.8,2020-09-12T19:00:00Z,74,21,0,0,0,0,1,0,1361562,2,0,5.0,3,0,0,0,55,False,0,ALNMKSMNSNT,170137,3,52,4
Alphonse Areola,0,0,0,0,0.0,516,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,3,0,0,0,0,1,0,71203,3,0,0.0,0,0,0,0,45,True,0,ALFNSRL,84182,1,45,54
Andreas Christensen,0,0,14,0,0.7,116,7,1,0,2.1,17.8,2020-09-14T19:15:00Z,90,36,0,0,0,0,1,0,17362,3,1,2.0,2,0,0,0,50,False,0,ANTRSXRSTNSN,135363,2,47,8
Andrew Robertson,1,0,20,0,19.6,255,3,3,0,4.7,23.4,2020-09-12T16:30:00Z,90,2,0,0,0,0,1,0,766431,3,4,4.0,4,0,0,0,70,True,0,ANTRRPRTSN,122798,2,73,14
Andriy Yarmolenko,0,0,-1,0,1.6,436,6,1,0,3.0,2.8,2020-09-12T19:00:00Z,23,4,0,0,0,0,1,0,14140,2,0,26.0,0,0,0,0,60,True,1,ANTRRMLNK,56377,3,55,21
Andros Townsend,1,2,26,1,33.7,137,1,0,0,6.4,28.4,2020-09-12T14:00:00Z,90,20,0,0,0,0,1,0,16534,0,1,2.0,8,0,0,0,60,True,0,ANTRSTNSNT,60252,3,55,31
AndrÃ© Filipe Tavares Gomes,0,0,11,1,3.3,158,4,0,0,2.7,3.8,2020-09-13T15:30:00Z,67,6,0,0,0,0,1,0,21001,1,0,20.0,3,0,0,0,55,False,0,ANTRFLPKMSTFRS,120250,3,53,11
AndrÃ©-Frank Zambo Anguissa,0,0,4,0,11.8,191,2,0,0,2.6,14.4,2020-09-12T11:30:00Z,27,3,0,0,0,0,1,0,50068,3,0,0.0,1,0,0,0,45,True,0,ANTRNKSFRNKSMP,203325,3,44,54
Andy Carroll,0,0,3,1,14.0,320,6,0,0,6.9,7.0,2020-09-12T19:00:00Z,87,21,0,0,0,0,1,0,21822,2,0,48.0,2,0,0,0,55,False,0,ANTKRL,40142,4,51,4
Angelo Ogbonna,0,0,14,0,1.1,432,6,2,0,3.7,30.0,2020-09-12T19:00:00Z,90,4,0,0,0,0,1,0,25125,2,0,6.0,1,0,0,0,50,True,0,ANJLKPN,40669,2,47,21
Angus Gunn,0,0,0,0,0.0,371,1,0,0,0.0,0.0,2020-09-12T14:00:00Z,0,31,0,0,0,0,1,0,19987,0,1,0.0,0,0,0,0,45,False,0,ANKSKN,107265,1,43,20
Anthony Gordon,0,0,0,0,0.0,168,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,6,0,0,0,0,1,0,49378,1,0,0.0,0,0,0,0,45,False,0,AN0NKRTN,232826,3,43,11
Anthony Knockaert,0,0,0,0,0.0,177,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,3,0,0,0,0,1,0,12640,3,0,0.0,0,0,0,0,55,True,0,AN0NKNKRT,83543,3,50,54
Antonee Robinson,0,0,0,0,0.0,484,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,3,0,0,0,0,1,0,7957,3,0,0.0,0,0,0,0,45,True,0,ANTNRPNSN,169528,2,44,54
Antonio RÃ¼diger,0,0,0,0,0.0,109,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,36,0,0,0,0,1,0,133067,3,1,0.0,0,0,0,0,50,False,0,ANTNRTJR,102380,2,47,8
Arthur Masuaku,0,0,0,0,0.0,442,6,0,0,0.0,0.0,2020-09-12T19:00:00Z,0,4,0,0,0,0,1,0,15272,2,0,0.0,0,0,0,0,45,True,0,AR0RMSK,105717,2,43,21
Ayoze PÃ©rez,0,0,5,1,2.5,229,5,0,0,2.7,0.0,2020-09-13T13:00:00Z,66,35,0,0,0,0,1,0,215629,3,0,24.0,3,0,0,0,65,False,0,ASPRS,168580,3,60,13
Bamidele Alli,0,0,3,0,11.9,394,4,0,0,4.1,8.4,2020-09-13T15:30:00Z,45,11,0,0,0,0,1,0,237638,1,0,21.0,1,0,0,0,80,True,0,ALPMTL,108823,3,74,6
Barry Douglas,0,0,0,0,0.0,196,3,0,0,0.0,0.0,2020-09-12T16:30:00Z,0,14,0,0,0,0,1,0,920095,3,4,0.0,0,0,0,0,40,False,0,PRTKLS,57913,2,38,2
Benjamin Chilwell,0,0,0,0,0.0,232,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,36,0,0,0,0,1,0,72270,3,1,0.0,0,0,0,0,55,False,0,PNJMNXLL,172850,2,59,8
Ben Davies,0,0,15,0,35.5,395,4,1,0,9.2,20.2,2020-09-13T15:30:00Z,90,11,0,0,0,0,1,0,155868,1,0,36.0,2,0,0,0,50,True,0,PNTFS,152898,2,47,14
Ben Davies,0,0,15,0,35.5,395,4,1,0,9.2,20.2,2020-09-13T15:30:00Z,90,11,0,0,0,0,1,0,155868,1,0,36.0,2,0,0,0,50,True,0,PNTFS,115556,2,45,6
Ben Johnson,0,0,0,0,0.0,452,6,0,0,0.0,0.0,2020-09-12T19:00:00Z,0,4,0,0,0,0,1,0,161367,2,0,0.0,0,0,0,0,40,True,0,PNJNSN,222018,2,39,21
Ben Osborn,0,0,0,0,0.0,356,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,39,0,0,0,0,1,0,2316,2,0,0.0,0,0,0,0,50,True,0,PNSPRN,167878,3,47,49
Ben White,0,0,16,0,0.8,74,7,3,0,1.5,14.2,2020-09-14T19:15:00Z,78,8,0,0,0,0,1,0,103827,3,1,0.0,1,0,0,0,45,True,0,PNT,198869,2,45,36
Bernardo Fernandes da Silva Junior,0,0,0,0,0.0,75,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,8,0,0,0,0,1,0,824870,3,1,0.0,0,0,0,0,40,True,0,PRNRTTFRNNTSJNRSLF,209362,2,39,36
Bernard AnÃ­cio Caldeira Duarte,0,0,0,0,0.0,154,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,6,0,0,0,0,1,0,10689,1,0,0.0,0,0,0,0,60,False,0,ANSPRNRTKLTRTRT,100649,3,57,11
Bernd Leno,0,1,29,1,0.0,8,2,0,0,1.4,14.0,2020-09-12T11:30:00Z,90,54,0,0,0,0,1,2,400285,3,0,0.0,7,0,0,0,50,False,0,PRNTLN,80201,1,50,3
Billy Gilmour,0,0,0,0,0.0,124,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,36,0,0,0,0,1,0,10890,3,1,0.0,0,0,0,0,45,False,0,PLJLMR,243568,3,43,8
Billy Sharp,0,0,-4,0,3.0,343,8,2,0,2.7,1.4,2020-09-14T17:00:00Z,90,39,0,0,0,0,1,0,17568,2,0,23.0,2,0,0,0,60,True,0,PLXRP,18867,4,55,49
Bobby Decordova-Reid,0,0,4,0,0.4,181,2,0,0,0.2,0.0,2020-09-12T11:30:00Z,15,3,0,0,0,0,1,0,8412,3,0,2.0,1,0,0,0,55,True,0,PPTKRTFRT,96994,4,53,54
Brandon Pierrick,0,0,0,0,0.0,147,1,0,0,0.0,0.0,2020-09-12T14:00:00Z,0,20,0,0,0,0,1,0,6682,0,1,0.0,0,0,0,0,45,True,0,PRNTNPRK,466955,3,43,31
Bruno AndrÃ© Cavaco Jordao,0,0,0,0,0.0,475,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,49,0,0,0,0,1,0,35928,2,0,0.0,0,0,0,0,45,False,0,ANTRPRNKFKJRT,428610,3,43,39
