name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,code,position,init_price,team_code
Ibrahima Diallo,0,0,0,0,0.0,565,136,0,0,0.0,0.0,2020-12-19T15:00:00Z,0,43,0,0,0,0,14,0,1475,1,0,0.0,0,-54,83,137,45,True,0,TLPRHM,240143,3,45,20
Felipe Anderson Pereira Gomes,0,0,0,0,0.0,440,131,0,0,0.0,0.0,2020-12-21T20:00:00Z,0,8,0,0,0,0,14,0,9751,0,3,0.0,0,-61,2,63,61,False,0,ANTRSNFLPKMSPRR,101537,3,61,21
Raheem Sterling,0,0,20,1,4.5,276,136,0,1,7.1,38.0,2020-12-19T15:00:00Z,90,20,0,0,0,0,14,0,323173,1,0,28.0,8,-13309,16361,29670,114,False,0,RHMSTRLNK,103955,3,109,43
Juan Mata,0,0,0,0,0.0,290,134,0,0,0.0,0.0,2020-12-20T16:30:00Z,0,2,0,0,0,0,14,0,11571,2,6,0.0,0,-287,252,539,59,True,0,JNMT,43670,3,58,1
Aaron Connolly,0,0,-1,0,12.0,78,129,1,0,4.8,2.0,2020-12-20T12:00:00Z,90,49,0,0,0,0,14,0,32454,1,1,34.0,2,-1589,979,2568,53,True,0,ARNKNL,233425,4,52,36
Oliver Norwood,0,0,0,0,0.0,349,129,0,0,0.0,0.0,2020-12-20T12:00:00Z,0,36,0,0,0,0,14,0,12349,1,1,0.0,0,-379,232,611,46,False,0,NRTLFR,79934,3,45,49
Lee Peltier,0,0,0,0,0.0,600,138,0,0,0.0,0.0,2020-12-20T19:15:00Z,0,7,0,0,0,0,14,0,3796,3,0,0.0,0,-179,414,593,40,True,0,LPLT,38716,2,39,35
Daniel Langley,0,0,0,0,0.0,606,135,0,0,0.0,0.0,2020-12-19T20:00:00Z,0,54,0,0,0,0,14,0,1451,1,1,0.0,0,541,960,419,40,True,0,TNLLNKL,432927,1,39,4
Wilfried Zaha,0,0,6,0,12.3,141,132,7,0,2.7,2.4,2020-12-19T12:30:00Z,90,14,0,0,0,0,14,0,1693584,7,0,12.0,2,12825,115009,102184,75,True,0,ALFRTSH,82403,3,71,31
Bailey Peacock-Farrell,0,0,0,0,0.0,99,130,0,0,0.0,0.0,2020-12-21T17:30:00Z,0,39,0,0,0,0,14,0,119640,1,2,0.0,0,684,2354,1670,40,True,0,PLFRLPKK,220037,1,40,90
Ryan Fraser,0,0,3,0,1.6,507,135,0,0,0.3,1.2,2020-12-19T20:00:00Z,11,54,0,0,0,0,14,0,15676,1,1,0.0,1,1458,1810,352,56,True,0,FRSRRN,90105,3,56,4
Anthony Driscoll-Glennon,0,0,0,0,0.0,536,130,0,0,0.0,0.0,2020-12-21T17:30:00Z,0,39,0,0,0,0,14,0,6228,1,2,0.0,0,-24,168,192,40,True,0,AN0NTRSKLKLNN,195471,2,39,90
Cengiz Ãnder,0,0,0,0,0.0,541,137,0,0,0.0,0.0,2020-12-20T14:15:00Z,0,6,0,0,0,0,14,0,5505,2,0,0.0,0,-331,222,553,59,False,0,ANTRSNJS,228798,3,57,13
HÃ©lder Wander Sousa de Azevedo e Costa,0,0,0,0,0.0,205,134,0,0,0.0,0.0,2020-12-20T16:30:00Z,0,1,0,0,0,0,14,0,289863,2,6,0.0,0,-32535,968,33503,53,False,0,ASFTKSTTLTRSSNTR,165808,3,50,2
Jean MichaÃ«l Seri,0,0,0,0,0.0,189,135,0,0,0.0,0.0,2020-12-19T20:00:00Z,0,4,0,0,0,0,14,0,2654,1,1,0.0,0,-51,30,81,46,False,0,JNMXLSR,170271,3,46,54
RaÃºl JimÃ©nez,0,0,0,0,0.0,460,130,0,0,0.0,0.0,2020-12-21T17:30:00Z,0,90,0,0,0,0,14,0,445255,1,2,0.0,0,-20070,88,20158,82,False,0,JMNSRL,102057,4,81,39
Oskar Buur,0,0,0,0,0.0,467,130,0,0,0.0,0.0,2020-12-21T17:30:00Z,0,90,0,0,0,0,14,0,189353,1,2,0.0,0,164,6502,6338,39,False,0,PRSKR,179456,2,39,39
Kieran Tierney,0,0,14,0,55.8,17,133,2,0,8.1,19.6,2020-12-19T17:30:00Z,90,11,0,0,0,0,14,0,327723,1,2,6.0,0,-13648,2480,16128,53,False,1,KRNTRN,192895,2,52,3
JosÃ© Diogo Dalot Teixeira,0,0,0,0,0.0,314,134,0,0,0.0,0.0,2020-12-20T16:30:00Z,0,2,0,0,0,0,14,0,2306,2,6,0.0,0,-20,1,21,48,True,0,TLTTKJSTKSR,216051,2,48,1
James Bree,0,0,0,0,0.0,43,138,0,0,0.0,0.0,2020-12-20T19:15:00Z,0,35,0,0,0,0,14,0,516,3,0,0.0,0,3,6,3,45,False,0,PRJMS,184386,2,45,7
Branislav Ivanovic,0,0,4,0,0.1,530,138,2,0,0.3,3.2,2020-12-20T19:15:00Z,12,7,0,0,0,0,14,0,10179,3,0,0.0,0,-506,391,897,45,True,0,PRNLFFNFK,41135,2,44,35
Dennis Praet,0,0,3,0,0.3,225,137,0,0,0.2,1.2,2020-12-20T14:15:00Z,6,6,0,0,0,0,14,0,21309,2,0,0.0,1,-2387,105,2492,54,False,0,TNSPRT,106837,3,52,13
Max Lowe,0,0,0,0,0.0,511,129,0,0,0.0,0.0,2020-12-20T12:00:00Z,0,36,0,0,0,0,14,0,4352,1,1,0.0,0,-85,58,143,44,False,0,LMKS,155197,2,42,49
Brandon Williams,0,0,0,0,0.0,318,134,0,0,0.0,0.0,2020-12-20T16:30:00Z,0,2,0,0,0,0,14,0,54046,2,6,0.0,0,-1007,545,1552,42,True,0,PRNTNLMS,232937,2,42,1
Neal Maupay,0,0,1,0,12.1,68,129,1,0,7.2,1.8,2020-12-20T12:00:00Z,65,49,0,0,0,0,14,0,165738,1,1,58.0,2,-4362,9236,13598,61,True,0,MPNL,115382,4,58,36
Moise Kean,0,0,0,0,0.0,169,133,0,0,0.0,0.0,2020-12-19T17:30:00Z,0,3,0,0,0,0,14,0,15739,1,2,0.0,0,-94,10,104,58,True,0,KNMS,242058,4,57,11
Aymeric Laporte,0,0,0,0,0.0,280,136,0,0,0.0,0.0,2020-12-19T15:00:00Z,0,20,0,0,0,0,14,0,196230,1,0,0.0,0,-9821,1584,11405,60,False,0,AMRKLPRT,146941,2,60,43
Zack Steffen,0,0,0,0,0.0,538,136,0,0,0.0,0.0,2020-12-19T15:00:00Z,0,20,0,0,0,0,14,0,2121,1,0,0.0,0,-8,35,43,45,False,0,STFNSK,164484,1,44,43
Fabricio Agosto RamÃ­rez,0,0,0,0,0.0,171,135,0,0,0.0,0.0,2020-12-19T20:00:00Z,0,4,0,0,0,0,14,0,126441,1,1,0.0,0,-191,1555,1746,40,False,0,AKSTFPRSRMRS,40559,1,39,54
Mark Noble,0,0,13,0,3.9,427,131,3,0,1.7,7.4,2020-12-21T20:00:00Z,90,8,0,0,0,0,14,0,32003,0,3,6.0,2,-682,354,1036,46,False,0,MRKNPL,18073,3,45,21
Bernardo Mota Veiga de Carvalho e Silva,0,0,16,1,35.2,281,136,0,0,7.2,15.8,2020-12-19T15:00:00Z,90,20,0,0,0,0,14,0,38743,1,0,21.0,3,-1494,1277,2771,74,False,0,PRNRTKRFLTMTSLFFK,165809,3,74,43
Jordan Henderson,0,0,36,1,7.7,244,132,0,1,6.8,53.6,2020-12-19T12:30:00Z,90,31,0,0,0,0,14,0,89834,7,0,7.0,8,2561,6167,3606,54,False,0,HNTRSNJRTN,56979,3,54,14
Curtis Jones,0,0,0,0,2.3,263,132,0,0,0.5,2.4,2020-12-19T12:30:00Z,21,31,0,0,0,0,14,0,109308,7,0,0.0,1,31025,34938,3913,44,False,0,KRTSJNS,206915,3,44,14
William Saliba,0,0,0,0,0.0,27,133,0,0,0.0,0.0,2020-12-19T17:30:00Z,0,11,0,0,0,0,14,0,52984,1,2,0.0,0,-384,1096,1480,40,False,0,SLPLM,462424,2,40,3
Pascal Struijk,0,0,-1,0,1.9,211,134,2,0,0.2,0.0,2020-12-20T16:30:00Z,45,1,0,0,0,0,14,0,156002,2,6,4.0,0,3632,9471,5839,39,False,0,PSKLSTRK,222694,2,40,2
Matt Ritchie,0,0,5,0,43.3,322,135,1,0,6.3,8.6,2020-12-19T20:00:00Z,90,54,1,0,0,0,14,0,3322,1,1,11.0,0,-21,151,172,49,True,0,MTRX,56983,3,49,4
Gary Cahill,0,0,9,0,1.3,125,132,7,0,1.3,9.2,2020-12-19T12:30:00Z,90,14,0,0,0,0,14,0,11186,7,0,2.0,-1,-11,907,918,45,True,0,KHLKR,19419,2,45,31
