name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,code,position,init_price,team_code
Ibrahima Diallo,0,0,0,0,0.0,565,225,0,0,0.0,0.0,2021-02-06T15:00:00Z,0,4,0,0,0,0,23,0,2059,2,3,0.0,0,-341,20,361,45,False,0,TLPRHM,240143,3,45,20
Felipe Anderson Pereira Gomes,0,0,0,0,0.0,440,221,0,0,0.0,0.0,2021-02-06T17:30:00Z,0,54,0,0,0,0,23,0,9229,0,0,0.0,0,-47,0,47,61,False,0,ANTRSNFLPKMSPRR,101537,3,61,21
Raheem Sterling,0,1,36,0,25.3,276,223,1,1,12.2,49.4,2021-02-07T16:30:00Z,90,14,0,0,0,0,23,0,913499,4,1,47.0,8,-34244,58476,92720,116,False,0,RHMSTRLNK,103955,3,109,43
Juan Mata,0,0,0,0,0.0,290,224,0,0,0.0,0.0,2021-02-06T20:00:00Z,0,11,0,0,0,0,23,0,10473,3,3,0.0,0,-143,48,191,58,True,0,JNMT,43670,3,58,1
Aaron Connolly,0,0,3,0,1.6,78,220,1,0,1.5,0.0,2021-02-06T15:00:00Z,61,90,0,0,0,0,23,0,24055,1,1,15.0,2,41,821,780,52,False,0,ARNKNL,233425,4,52,36
Oliver Norwood,0,0,14,0,11.4,349,226,2,0,2.5,13.2,2021-02-07T19:15:00Z,85,8,0,0,0,0,23,0,10520,2,1,0.0,2,-242,101,343,45,True,0,NRTLFR,79934,3,45,49
Lee Peltier,0,0,10,0,8.8,600,227,2,0,3.1,22.2,2021-02-07T12:00:00Z,90,6,0,0,0,0,23,0,5153,0,2,0.0,1,-133,180,313,40,False,0,LPLT,38716,2,39,35
Daniel Langley,0,0,0,0,0.0,606,225,0,0,0.0,0.0,2021-02-06T15:00:00Z,0,20,0,0,0,0,23,0,5546,2,3,0.0,0,-148,234,382,40,True,0,TNLLNKL,432927,1,39,4
Wilfried Zaha,0,0,0,0,0.0,141,222,0,0,0.0,0.0,2021-02-08T20:00:00Z,0,2,0,0,0,0,23,0,967976,0,2,0.0,0,-252091,7045,259136,72,False,0,ALFRTSH,82403,3,71,31
Bailey Peacock-Farrell,0,0,0,0,0.0,99,220,0,0,0.0,0.0,2021-02-06T15:00:00Z,0,36,0,0,0,0,23,0,106411,1,1,0.0,0,-2029,764,2793,40,True,0,PLFRLPKK,220037,1,40,90
Ryan Fraser,0,0,0,0,0.0,507,225,0,0,0.0,0.0,2021-02-06T15:00:00Z,0,20,0,0,0,0,23,0,12977,2,3,0.0,0,255,491,236,56,True,0,FRSRRN,90105,3,56,4
Anthony Driscoll-Glennon,0,0,0,0,0.0,536,220,0,0,0.0,0.0,2021-02-06T15:00:00Z,0,36,0,0,0,0,23,0,7601,1,1,0.0,0,-147,209,356,40,True,0,AN0NTRSKLKLNN,195471,2,39,90
Cengiz Ãnder,0,0,0,0,0.0,541,228,0,0,0.0,0.0,2021-02-07T14:00:00Z,0,39,0,0,0,0,23,0,3969,0,0,0.0,0,-77,33,110,57,False,0,ANTRSNJS,228798,3,57,13
HÃ©lder Wander Sousa de Azevedo e Costa,0,0,0,0,0.0,205,222,0,0,0.0,0.0,2021-02-08T20:00:00Z,0,31,0,0,0,0,23,0,188914,0,2,0.0,0,-4640,169,4809,51,True,0,ASFTKSTTLTRSSNTR,165808,3,50,2
Jean MichaÃ«l Seri,0,0,0,0,0.0,189,221,0,0,0.0,0.0,2021-02-06T17:30:00Z,0,21,0,0,0,0,23,0,2279,0,0,0.0,0,-28,0,28,46,True,0,JNMXLSR,170271,3,46,54
RaÃºl JimÃ©nez,0,0,0,0,0.0,460,228,0,0,0.0,0.0,2021-02-07T14:00:00Z,0,13,0,0,0,0,23,0,380201,0,0,0.0,0,-3589,82,3671,82,True,0,JMNSRL,102057,4,81,39
Oskar Buur,0,0,0,0,0.0,467,228,0,0,0.0,0.0,2021-02-07T14:00:00Z,0,13,0,0,0,0,23,0,157099,0,0,0.0,0,-11645,0,11645,39,True,0,PRSKR,179456,2,39,39
Kieran Tierney,0,0,0,0,0.0,17,219,0,0,0.0,0.0,2021-02-06T12:30:00Z,0,7,0,0,0,0,23,0,385683,0,1,0.0,0,-92757,589,93346,53,False,0,KRNTRN,192895,2,52,3
Tyler Onyango,0,0,0,0,0.0,644,224,0,0,0.0,0.0,2021-02-06T20:00:00Z,0,1,0,0,0,0,23,0,70,3,3,0.0,0,19,33,14,45,False,0,ANNKTLR,461446,3,45,11
Jean-Philippe Mateta,0,0,8,0,11.9,641,222,2,0,2.1,9.2,2021-02-08T20:00:00Z,64,2,0,0,0,0,23,0,2841,0,2,0.0,2,-382,466,848,60,False,0,JNMTTFLP,231747,4,53,31
JosÃ© Diogo Dalot Teixeira,0,0,0,0,0.0,314,224,0,0,0.0,0.0,2021-02-06T20:00:00Z,0,11,0,0,0,0,23,0,2199,3,3,0.0,0,-14,0,14,48,True,0,TLTTKJSTKSR,216051,2,48,1
James Bree,0,0,0,0,0.0,43,219,0,0,0.0,0.0,2021-02-06T12:30:00Z,0,3,0,0,0,0,23,0,489,0,1,0.0,0,-3,0,3,45,True,0,PRJMS,184386,2,45,7
Andy Lonergan,0,0,0,0,0.0,639,227,0,0,0.0,0.0,2021-02-07T12:00:00Z,0,6,0,0,0,0,23,0,2059,0,2,0.0,0,93,369,276,40,False,0,ANTLNRKN,11948,1,40,35
Branislav Ivanovic,0,0,0,0,0.0,530,227,0,0,0.0,0.0,2021-02-07T12:00:00Z,0,6,0,0,0,0,23,0,7337,0,2,0.0,0,-245,100,345,44,False,0,PRNLFFNFK,41135,2,44,35
Dennis Praet,0,0,0,0,0.0,225,228,0,0,0.0,0.0,2021-02-07T14:00:00Z,0,39,0,0,0,0,23,0,13090,0,0,0.0,0,-361,15,376,52,False,0,TNSPRT,106837,3,52,13
