gw,cheap,captain,pred,score,buy1,buy1_price,sold1,sold1_price,buy2,buy2_price,sold2,sold2_price,team_value,extra_budget
1,,54694,53.78260869565217,85,,0.0,,0.0,,0,,0,100.0,0.0
2,,54694,56.29722685580737,48,Romain SaÃ¯ss,5.0,Virgil van Dijk,6.5,,0,,0,98.6,1.5
3,bb,118748,83.17331625005951,71,Jamie Vardy,10.0,RaÃºl JimÃ©nez,8.5,,0,,0,100.3,0.0
4,,84939,67.72237107492258,34,Danny Ings,8.5,Alexandre Lacazette,8.5,,0,,0,100.5,0.0
5,wc,54694,77.37688092615842,66,,0.0,,0.0,,0,,0,100.1,0.199999999999993
6,,78830,75.2821514108318,68,Bruno Miguel Borges Fernandes,10.5,Pierre-Emerick Aubameyang,11.8,,0,,0,99.59999999999998,1.4999999999999938
7,,78830,72.9880450383142,45,Riyad Mahrez,8.4,James RodrÃ­guez,8.0,,0,,0,100.4,1.0999999999999934
8,,78830,67.90041202108534,69,Jack Grealish,7.4,Riyad Mahrez,8.3,,0,,0,99.79999999999998,1.9999999999999936
9,,101668,68.97057316514723,71,Jamie Vardy,10.1,Harry Kane,11.0,,0,,0,99.4,2.899999999999994
10,,101668,73.74672011637469,56,James RodrÃ­guez,7.9,Wilfried Zaha,7.3,,0,,0,100.2,2.2999999999999936
11,,101668,69.29401473380504,67,Marcus Rashford,9.5,Jack Grealish,7.6,,0,,0,102.5,0.3999999999999932
12,,101668,61.46552581532079,70,Mason Greenwood,7.1,James RodrÃ­guez,7.7,,0,,0,102.0,0.9999999999999938
13,,101668,64.54670389718338,59,Jack Grealish,7.8,Mason Greenwood,7.1,,0,,0,102.79999999999998,0.2999999999999936
14,,101668,69.26142570158271,84,Emiliano MartÃ­nez,4.9,Bernd Leno,5.0,,0,,0,102.79999999999998,0.3999999999999932
15,,85971,67.96401724477897,65,Tyrone Mings,5.4,Michael Keane,5.1,,0,,0,103.4,0.0999999999999925
16,,141746,66.44851880554363,78,Wilfried Zaha,7.5,Heung-Min Son,9.7,,0,,0,101.6,2.299999999999992
17,,141746,65.28950651672953,44,Trent Alexander-Arnold,7.3,Tyrone Mings,5.4,,0,,0,103.79999999999998,0.3999999999999923
18,fh,141746,68.40895038557892,56,,0.0,,0.0,,0,,0,104.20000000000002,5.773159728050814e-15
19,,141746,34.71753965856898,40,Anthony Martial,8.8,Jamie Vardy,10.2,,0,,0,102.3,1.799999999999991
20,,141746,62.14556958142646,45,Roberto Firmino,9.3,Dominic Calvert-Lewin,7.8,,0,,0,103.9,0.29999999999999
21,,141746,69.97866351752319,60,Aaron Cresswell,5.5,Trent Alexander-Arnold,7.3,,0,,0,102.1,2.09999999999999
22,,141746,66.63341349832876,82,Gabriel Fernando de Jesus,9.2,Roberto Firmino,9.5,,0,,0,101.9,2.3999999999999906
23,,141746,66.41641363214619,69,Dominic Calvert-Lewin,7.6,Anthony Martial,8.7,,0,,0,101.20000000000002,3.4999999999999902
24,,141746,67.43987417662535,58,Harry Kane,11.0,Dominic Calvert-Lewin,7.7,,0,,0,104.6,0.1999999999999904
25,,176297,63.40551707736528,68,Raheem Sterling,11.6,Bruno Miguel Borges Fernandes,11.6,,0,,0,104.9,0.1999999999999904
26,,78830,61.74367413908519,70,Bruno Miguel Borges Fernandes,11.6,Raheem Sterling,11.6,,0,,0,104.79999999999998,0.1999999999999904
27,,176297,58.57701601763567,59,Jamie Vardy,10.2,Harry Kane,11.2,,0,,0,103.8,1.1999999999999904
28,,101668,58.52473892682248,61,Willian Borges Da Silva,7.5,Jack Grealish,7.5,,0,,0,103.7,1.1999999999999904
29,wc,78830,59.41583614859314,73,,0.0,,0.0,,0,,0,95.0,9.999999999999972
30,,78830,63.36299785814175,52,Pierre-Emerick Aubameyang,11.4,Gareth Bale,9.5,,0,,0,97.2,8.099999999999973
31,,118748,63.74082107211599,70,Mohamed Salah,12.4,Pierre-Emerick Aubameyang,11.4,,0,,0,98.2,7.099999999999973
32,,118748,66.5486026586963,43,Heung-Min Son,9.5,Anwar El Ghazi,5.2,,0,,0,102.1,2.799999999999973
33,,141746,49.13131640622082,31,Bruno Miguel Borges Fernandes,11.6,Heung-Min Son,9.5,,0,,0,104.4,0.6999999999999735
34,,101668,38.76233045813888,23,Jamie Vardy,10.3,Harry Kane,11.7,,0,,0,102.9,2.099999999999972
35,,101668,50.27601971748869,52,Heung-Min Son,9.6,Mohamed Salah,12.6,,0,,0,99.9,5.099999999999972
36,,118748,49.926036643385565,52,Mohamed Salah,12.7,Bruno Miguel Borges Fernandes,11.6,,0,,0,100.8,3.999999999999973
37,,118748,55.35746732865172,38,Harry Kane,11.8,Jamie Vardy,10.3,,0,,0,102.5,2.4999999999999725
38,tc,118748,64.7888098009742,70,Jamie Vardy,10.2,Alexandre Lacazette,8.4,,0,,0,104.3,0.6999999999999735
