gw,cheap,captain,pred,score,buy1,buy1_price,sold1,sold1_price,buy2,buy2_price,sold2,sold2_price,team_value,extra_budget
1,,54694,54.1304347826087,64,,0.0,,0.0,,0,,0,100.0,0.0
2,,54694,62.846495493085335,73,James Justin,4.6,Matt Doherty,6.0,,0,,0,98.6,1.4000000000000004
3,bb,177815,89.89086236862295,67,Dominic Calvert-Lewin,7.3,RaÃºl JimÃ©nez,8.5,,0,,0,97.6,2.6000000000000005
4,wc,106617,119.35197167020092,47,,0.0,,0.0,,0,,0,100.2,0.1999999999999886
5,tc,118748,123.55425059222792,68,Heung-Min Son,9.2,Kevin De Bruyne,11.6,,0,,0,98.1,2.599999999999989
6,,85971,103.6044354322092,76,Bruno Miguel Borges Fernandes,10.5,James RodrÃ­guez,8.0,,0,,0,101.1,0.0999999999999889
7,,85971,67.99836396816073,37,,0.0,,0.0,,0,,0,101.50000000000001,0.09999999999998899
