gw,cheap,captain,pred,score,buy1,buy1_price,sold1,sold1_price,buy2,buy2_price,sold2,sold2_price,team_value,extra_budget
1,,54694,53.934782608695656,59,,0.0,,0.0,,0,,0,100.0,0.0
2,,54694,58.79530932553856,74,James Justin,4.6,Virgil van Dijk,6.5,,0,,0,98.0,1.9000000000000004
3,bb,177815,83.74526561920925,58,Dominic Calvert-Lewin,7.3,RaÃºl JimÃ©nez,8.5,,0,,0,96.9,3.1000000000000005
4,,106617,75.50382870515165,53,Patrick Bamford,5.8,Alexandre Lacazette,8.5,,0,,0,94.3,5.800000000000001
5,,78830,77.75678167461642,65,Harry Kane,10.6,Danny Ings,8.5,,0,,0,96.4,3.700000000000001
6,,85971,75.78901637020034,82,Wilfried Zaha,7.2,Adama TraorÃ©,6.4,,0,,0,97.8,2.900000000000001
7,,78830,69.53965323218242,58,Andrew Robertson,7.1,Tyrick Mitchell,4.2,,0,,0,101.0,1.7763568394002505e-15
8,,78830,79.4737298944719,52,Mahmoud Ahmed Ibrahim Hassan,5.4,Jack Harrison,5.5,,0,,0,101.4,0.1000000000000014
9,,101668,74.08213167220347,58,Jamie Vardy,10.1,Harry Kane,11.0,,0,,0,100.49999999999996,1.0000000000000018
10,,101668,78.77549459981135,44,Jack Grealish,7.6,Wilfried Zaha,7.3,,0,,0,100.79999999999998,0.700000000000002
11,,177815,68.4166079369902,57,James RodrÃ­guez,7.8,Jack Grealish,7.6,,0,,0,101.5,0.5000000000000018
12,,101668,59.02195231399779,71,Tomas Soucek,4.9,James RodrÃ­guez,7.7,,0,,0,98.9,3.3000000000000016
13,,101668,68.86148126213449,55,Jack Grealish,7.8,Mahmoud Ahmed Ibrahim Hassan,5.3,,0,,0,101.4,0.8000000000000016
14,,85971,70.58045441290434,65,Kevin De Bruyne,11.9,Pierre-Emerick Aubameyang,11.4,,0,,0,101.5,0.3000000000000016
15,,141746,67.84103230519491,68,Bruno Miguel Borges Fernandes,11.0,Kevin De Bruyne,11.8,,0,,0,101.0,1.1000000000000023
16,,141746,75.23955749547196,71,Marcus Rashford,9.5,Heung-Min Son,9.7,,0,,0,101.2,1.3000000000000016
17,,141746,71.17279092205824,53,Emiliano MartÃ­nez,5.0,Alex McCarthy,4.7,,0,,0,102.0,1.0000000000000018
18,wc,78830,85.09017902297292,61,,0.0,,0.0,,0,,0,103.0,2.7977620220553945e-14
19,,61366,71.38094425307034,69,James Tarkowski,5.3,RÃºben Santos Gato Alves Dias,5.8,,0,,0,102.5,0.500000000000028
20,wc,57531,82.75252370211517,61,,0.0,,0.0,,0,,0,102.9,0.1000000000000316
21,,141746,70.77047409980196,41,Bruno Miguel Borges Fernandes,11.4,Raheem Sterling,11.6,,0,,0,103.2,0.3000000000000309
22,,114283,70.84254379548621,82,James Maddison,7.3,Paul Pogba,7.7,,0,,0,103.0,0.7000000000000313
23,,141746,82.40012118902726,72,Patrick Bamford,6.7,Harry Kane,11.0,,0,,0,99.20000000000002,5.000000000000031
24,,141746,79.93210509269817,85,Ilkay GÃ¼ndogan,6.0,Bukayo Saka,5.3,,0,,0,99.7,4.300000000000031
25,,172780,71.00734946370848,54,Jamie Vardy,10.1,Michail Antonio,6.6,,0,,0,103.2,0.8000000000000309
26,,141746,63.27500981211728,82,Riyad Mahrez,8.1,James Maddison,7.3,,0,,0,104.0,3.108624468950438e-14
27,,109322,67.43940848788374,80,Jesse Lingard,6.0,Jack Grealish,7.6,,0,,0,102.20000000000002,1.6000000000000307
28,,141746,68.61638047453981,50,Che Adams,5.8,David McGoldrick,5.2,,0,,0,103.0,1.000000000000031
29,fh,78830,75.44997719293671,78,,0.0,,0.0,,0,,0,95.3,8.700000000000044
30,,54694,36.29524326044002,36,Pierre-Emerick Aubameyang,11.4,Bruno Miguel Borges Fernandes,11.5,,0,,0,102.90000000000002,1.1000000000000307
31,,118748,72.66736505111727,58,Mohamed Salah,12.4,Pierre-Emerick Aubameyang,11.4,,0,,0,103.70000000000002,0.1000000000000307
32,,85971,71.34835199163736,48,Luke Shaw,5.3,Willy Boly,5.4,,0,,0,103.5,0.2000000000000312
33,,118748,63.36581604580078,41,Mason Greenwood,7.1,Heung-Min Son,9.5,,0,,0,101.3,2.600000000000032
34,,173515,39.23796354457526,27,Kelechi Iheanacho,6.2,Che Adams,5.8,,0,,0,101.8,2.200000000000032
35,,101668,51.04958771981916,55,Heung-Min Son,9.6,Mohamed Salah,12.6,,0,,0,98.3,5.200000000000031
36,,118748,55.15610805649819,38,Mohamed Salah,12.7,Riyad Mahrez,8.0,,0,,0,103.0,0.500000000000032
37,,118748,56.07306576589063,65,Dominic Calvert-Lewin,7.6,Jamie Vardy,10.3,,0,,0,100.6,3.200000000000033
38,tc,118748,85.54899402065361,58,Trent Alexander-Arnold,7.8,James Justin,4.8,,0,,0,103.89999999999998,0.20000000000003304
