id,gw,pos,team,val,pred,score,captain,squad
Bernd Leno,1,0.0,Arsenal,5.0,3.847826086956522,7,False,1
Virgil van Dijk,1,1.0,Liverpool,6.5,4.108695652173913,7,False,1
Stuart Dallas,1,1.0,Leeds United,4.5,3.5869565217391304,3,False,1
Matt Doherty,1,1.0,Tottenham Hotspur,6.0,3.5217391304347827,2,False,1
Pierre-Emerick Aubameyang,1,2.0,Arsenal,12.0,6.065217391304348,7,True,1
Heung-Min Son,1,2.0,Tottenham Hotspur,9.0,4.695652173913044,2,False,1
Jack Harrison,1,2.0,Leeds United,5.5,3.804347826086957,7,False,1
Kalvin Phillips,1,2.0,Leeds United,5.0,3.347826086956522,5,False,1
Ra̼l Jim̩nez,1,3.0,Wolverhampton,8.5,5.130434782608695,8,False,1
Danny Ings,1,3.0,Southampton,8.5,4.434782608695652,2,False,1
Alexandre Lacazette,1,3.0,Arsenal,8.5,5.521739130434782,7,False,1
Tyrick Mitchell,1,1.0,Crystal Palace,4.0,1.9130434782608696,6,False,0
Alex McCarthy,1,0.0,Southampton,4.5,2.869565217391304,2,False,0
Lucas Digne,1,1.0,Everton,6.0,2.608695652173913,12,False,0
Adama Traor̩,1,2.0,Wolverhampton,6.5,3.282608695652174,3,False,0
Bernd Leno,2,0.0,Arsenal,5.0,4.070962739533819,2,False,1
James Justin,2,1.0,Leicester,4.6,5.908595630672528,7,False,1
Lucas Digne,2,1.0,Everton,6.1,5.269818448709543,1,False,1
Stuart Dallas,2,1.0,Leeds United,4.5,4.077224039818099,1,False,1
Pierre-Emerick Aubameyang,2,2.0,Arsenal,12.0,6.969957680371677,5,True,1
Heung-Min Son,2,2.0,Tottenham Hotspur,8.9,5.344127509382254,24,False,1
Jack Harrison,2,2.0,Leeds United,5.5,4.120011947656647,2,False,1
Kalvin Phillips,2,2.0,Leeds United,5.0,3.9678380346131688,2,False,1
Danny Ings,2,3.0,Southampton,8.5,5.487621511259878,11,False,1
Ra̼l Jim̩nez,2,3.0,Wolverhampton,8.5,5.039779683295298,6,False,1
Alexandre Lacazette,2,3.0,Arsenal,8.5,5.620600587400742,7,False,1
Virgil van Dijk,2,1.0,Liverpool,6.5,3.870771911918188,7,False,0
Adama Traor̩,2,2.0,Wolverhampton,6.5,2.9622670873599053,2,False,0
Alex McCarthy,2,0.0,Southampton,4.5,2.7129162650957395,0,False,0
Tyrick Mitchell,2,1.0,Crystal Palace,4.0,1.5274844786642532,5,False,0
Bernd Leno,3,0.0,Arsenal,5.0,3.794580834586301,3,False,1
Virgil van Dijk,3,1.0,Liverpool,6.5,4.146845800648312,2,False,1
Tyrick Mitchell,3,1.0,Crystal Palace,4.1,3.925015617194996,1,False,1
James Justin,3,1.0,Leicester,4.7,5.726442131988984,1,False,1
Stuart Dallas,3,1.0,Leeds United,4.5,5.311062522352138,6,False,1
Lucas Digne,3,1.0,Everton,6.1,4.811062522352138,6,False,1
Heung-Min Son,3,2.0,Tottenham Hotspur,9.1,6.7967602141876,1,False,1
Kalvin Phillips,3,2.0,Leeds United,5.0,4.1588886093086606,2,False,1
Danny Ings,3,3.0,Southampton,8.4,6.753281953318035,9,False,1
