Name,id,appearances,goals,wins,losses,clean_sheets,goals_conceded,tackles,tackle_success_%,last_man_tackles,blocked_shots,interceptions,clearances,headed_clearance,clearances_off_line,recoveries,duels_won,duels_lost,successful_50/50s,aerial_battles_won,aerial_battles_lost,own_goals,errors_leading_to_goal,assists,passes,passes_per_match,big_chances_created,crosses,cross_accuracy_%,through_balls,accurate_long_balls,yellow_cards,red_cards,fouls,offsides,headed_goals,goals_with_right_foot,goals_with_left_foot,hit_woodwork,big_chances_missed,freekicks_scored,goals_per_match,penalties_scored,shooting_accuracy_%,shots,shots_on_target,catches,goal_kicks,high_claims,penalties_saved,punches,saves,sweeper_clearances,throw_outs,season
Max Aarons,-1.0,42.0,0.0,4.0,31.0,5.0,86.0,60.0,67.0,0.0,7.0,44.0,86.0,35.0,3.0,206.0,199.0,206.0,57.0,25.0,62.0,0.0,0.0,1.0,1537.0,36.6,8.0,82.0,26.0,2.0,43.0,8.0,0.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Tammy Abraham,173879.0,89.0,26.0,36.0,33.0,0.0,0.0,25.0,0.0,0.0,31.0,12.0,55.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,922.0,10.36,7.0,32.0,0.0,0.0,0.0,2.0,0.0,56.0,39.0,3.0,20.0,1.0,3.0,30.0,0.0,0.29,0.0,41.0,164.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Che Adams,200439.0,70.0,13.0,24.0,31.0,0.0,0.0,37.0,0.0,0.0,25.0,7.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,924.0,13.2,16.0,19.0,0.0,0.0,0.0,1.0,0.0,56.0,29.0,0.0,12.0,1.0,2.0,25.0,0.0,0.19,0.0,44.0,96.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Tosin Adarabioyo,109646.0,33.0,0.0,5.0,15.0,9.0,41.0,37.0,51.0,0.0,2.0,42.0,193.0,99.0,0.0,143.0,136.0,83.0,11.0,83.0,39.0,1.0,1.0,0.0,1905.0,57.73,0.0,2.0,2.0,0.0,118.0,1.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Dennis Adeniran,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Albert Adomah,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,80.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,9.0,18.0,2.0,0.0,5.0,0.0,0.0,0.0,32.0,16.0,0.0,9.0,22.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Adrián,-1.0,139.0,0.0,57.0,45.0,38.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3481.0,25.04,0.0,0.0,0.0,0.0,1096.0,10.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1265.0,150.0,5.0,57.0,464.0,112.0,550.0,3
Adrien Silva,46483.0,14.0,0.0,4.0,7.0,0.0,0.0,24.0,63.0,0.0,5.0,15.0,1.0,1.0,0.0,63.0,52.0,75.0,7.0,11.0,21.0,0.0,0.0,1.0,512.0,36.57,1.0,4.0,4.0,3.0,26.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,18.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Daniel Adshead,431924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Benik Afobe,-1.0,63.0,10.0,19.0,28.0,0.0,0.0,18.0,0.0,0.0,12.0,7.0,34.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,673.0,10.68,2.0,8.0,0.0,0.0,0.0,1.0,0.0,45.0,27.0,3.0,4.0,3.0,2.0,19.0,0.0,0.16,0.0,43.0,61.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Sergio Agüero,37572.0,275.0,184.0,186.0,45.0,0.0,0.0,154.0,0.0,0.0,232.0,75.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,6305.0,22.93,62.0,177.0,0.0,0.0,0.0,23.0,1.0,169.0,195.0,19.0,130.0,34.0,34.0,128.0,0.0,0.67,27.0,42.0,1015.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Daniel Agyei,-1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Soufyan Ahannach,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Ahmed El Mohamady,37339.0,197.0,6.0,51.0,96.0,31.0,246.0,284.0,77.0,0.0,20.0,263.0,364.0,179.0,5.0,972.0,1000.0,890.0,130.0,462.0,419.0,1.0,1.0,13.0,7098.0,36.03,20.0,955.0,21.0,7.0,334.0,14.0,1.0,158.0,13.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Ola Aina,159506.0,34.0,2.0,8.0,15.0,7.0,36.0,37.0,54.0,0.0,3.0,45.0,82.0,41.0,0.0,149.0,115.0,111.0,21.0,31.0,36.0,0.0,0.0,1.0,1478.0,43.47,1.0,52.0,17.0,0.0,66.0,3.0,0.0,32.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Albian Ajeti,181008.0,9.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Nathan Aké,126184.0,158.0,13.0,56.0,71.0,34.0,234.0,266.0,63.0,3.0,21.0,215.0,783.0,427.0,5.0,668.0,708.0,476.0,29.0,346.0,291.0,0.0,0.0,6.0,6460.0,40.89,9.0,62.0,19.0,3.0,274.0,19.0,1.0,108.0,7.0,7.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Marc Albrighton,51938.0,289.0,19.0,108.0,103.0,0.0,0.0,461.0,74.0,0.0,82.0,279.0,189.0,55.0,0.0,1378.0,1070.0,1269.0,325.0,81.0,221.0,0.0,0.0,42.0,6379.0,22.07,68.0,1727.0,20.0,34.0,405.0,35.0,1.0,178.0,21.0,2.0,15.0,2.0,6.0,14.0,1.0,0.07,0.0,33.0,242.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Toby Alderweireld,55605.0,200.0,9.0,112.0,49.0,69.0,182.0,261.0,73.0,2.0,31.0,192.0,1090.0,527.0,5.0,937.0,639.0,505.0,29.0,325.0,302.0,3.0,1.0,4.0,11394.0,56.97,6.0,58.0,29.0,24.0,1188.0,22.0,0.0,83.0,3.0,6.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Trent Alexander-Arnold,169187.0,133.0,8.0,94.0,17.0,43.0,107.0,218.0,63.0,1.0,50.0,165.0,232.0,82.0,1.0,822.0,377.0,443.0,88.0,43.0,97.0,0.0,2.0,35.0,7826.0,58.84,50.0,1029.0,23.0,21.0,552.0,13.0,0.0,71.0,16.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Ali Koiki,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Alisson,-1.0,105.0,1.0,75.0,11.0,48.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3014.0,28.7,0.0,0.0,0.0,0.0,421.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,583.0,42.0,1.0,48.0,232.0,68.0,543.0,3
Allan,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Dele Alli,-1.0,176.0,51.0,99.0,42.0,0.0,0.0,266.0,65.0,0.0,85.0,137.0,110.0,64.0,0.0,825.0,894.0,1182.0,201.0,132.0,199.0,0.0,1.0,34.0,5978.0,33.97,46.0,89.0,12.0,68.0,175.0,25.0,0.0,196.0,32.0,9.0,32.0,10.0,8.0,39.0,0.0,0.29,3.0,40.0,333.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Miguel Almirón,179018.0,86.0,8.0,27.0,36.0,0.0,0.0,142.0,62.0,0.0,38.0,70.0,40.0,15.0,0.0,447.0,380.0,378.0,97.0,21.0,56.0,0.0,1.0,3.0,2052.0,23.86,8.0,109.0,22.0,6.0,65.0,9.0,0.0,58.0,36.0,0.0,2.0,6.0,5.0,14.0,0.0,0.09,0.0,35.0,113.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Marcos Alonso,82263.0,157.0,23.0,98.0,34.0,59.0,144.0,312.0,66.0,0.0,75.0,233.0,405.0,206.0,1.0,913.0,886.0,720.0,101.0,316.0,234.0,0.0,1.0,13.0,7065.0,45.0,20.0,492.0,19.0,9.0,238.0,29.0,1.0,144.0,18.0,4.0,3.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Steven Alzate,235382.0,35.0,1.0,9.0,15.0,0.0,0.0,52.0,0.0,0.0,10.0,22.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078.0,30.8,1.0,11.0,0.0,0.0,0.0,3.0,0.0,39.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.03,0.0,25.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Ibrahim Amadou,128348.0,11.0,0.0,2.0,7.0,0.0,0.0,18.0,61.0,0.0,0.0,16.0,55.0,31.0,0.0,39.0,38.0,31.0,2.0,16.0,13.0,0.0,0.0,0.0,369.0,33.55,0.0,1.0,100.0,0.0,15.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,17.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Daniel Amartey,155569.0,61.0,2.0,25.0,24.0,9.0,70.0,81.0,62.0,0.0,4.0,65.0,105.0,61.0,0.0,333.0,193.0,192.0,12.0,81.0,73.0,0.0,0.0,1.0,2164.0,35.48,0.0,7.0,14.0,0.0,98.0,8.0,1.0,45.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Luke Amos,168764.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Ethan Ampadu,199598.0,26.0,0.0,5.0,20.0,2.0,42.0,58.0,64.0,0.0,1.0,49.0,85.0,36.0,0.0,114.0,149.0,88.0,13.0,53.0,31.0,1.0,1.0,0.0,1025.0,39.42,2.0,19.0,32.0,0.0,57.0,3.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Joseph Anang,447879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Florin Andone,93284.0,26.0,4.0,5.0,14.0,0.0,0.0,11.0,0.0,0.0,6.0,3.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,6.81,0.0,5.0,0.0,0.0,0.0,5.0,1.0,30.0,4.0,2.0,2.0,0.0,0.0,3.0,0.0,0.15,0.0,45.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
André Gomes,-1.0,77.0,1.0,31.0,29.0,0.0,0.0,97.0,64.0,0.0,12.0,38.0,34.0,21.0,0.0,434.0,324.0,474.0,97.0,75.0,59.0,0.0,0.0,3.0,2972.0,38.6,4.0,51.0,20.0,6.0,241.0,16.0,0.0,124.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.01,0.0,20.0,45.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Andreas Pereira,156689.0,45.0,2.0,21.0,13.0,0.0,0.0,34.0,62.0,0.0,14.0,20.0,12.0,4.0,0.0,140.0,101.0,213.0,32.0,13.0,49.0,0.0,1.0,4.0,1111.0,24.69,8.0,88.0,19.0,3.0,42.0,10.0,0.0,42.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.04,0.0,36.0,45.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Angel Gomes,209041.0,5.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,9.4,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,50.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Angeliño,-1.0,6.0,0.0,4.0,2.0,0.0,7.0,5.0,40.0,0.0,2.0,9.0,15.0,7.0,0.0,29.0,17.0,15.0,4.0,6.0,7.0,0.0,0.0,0.0,338.0,56.33,3.0,43.0,21.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Faustino Anjorin,223332.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Michail Antonio,57531.0,164.0,50.0,62.0,60.0,0.0,0.0,132.0,70.0,0.0,89.0,131.0,131.0,64.0,0.0,542.0,1101.0,1293.0,346.0,392.0,515.0,0.0,2.0,22.0,3222.0,19.65,28.0,355.0,20.0,18.0,132.0,17.0,2.0,185.0,77.0,20.0,23.0,8.0,19.0,45.0,0.0,0.3,1.0,39.0,382.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Billy Arce,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Cameron Archer,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Marko Arnautovic,41464.0,184.0,43.0,63.0,75.0,0.0,0.0,199.0,0.0,0.0,98.0,114.0,79.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,4841.0,26.31,46.0,475.0,0.0,0.0,0.0,24.0,2.0,216.0,149.0,1.0,30.0,11.0,16.0,43.0,1.0,0.23,5.0,35.0,379.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Kepa Arrizabalaga,109745.0,77.0,0.0,41.0,22.0,25.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2170.0,28.18,0.0,0.0,0.0,0.0,361.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,504.0,35.0,1.0,19.0,155.0,23.0,354.0,3
Harry Arter,48615.0,94.0,3.0,28.0,45.0,0.0,0.0,221.0,73.0,0.0,39.0,103.0,65.0,16.0,0.0,508.0,390.0,368.0,54.0,25.0,29.0,0.0,3.0,5.0,4282.0,45.55,4.0,50.0,28.0,16.0,326.0,32.0,1.0,91.0,2.0,0.0,2.0,1.0,5.0,2.0,0.0,0.03,0.0,19.0,124.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Daniel Arzani,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Benny Ashley-Seal,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Daniel Atherton,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Christian Atsu,104953.0,80.0,3.0,25.0,32.0,0.0,0.0,52.0,77.0,0.0,17.0,26.0,41.0,17.0,0.0,245.0,217.0,380.0,73.0,32.0,142.0,0.0,0.0,6.0,1096.0,13.7,12.0,117.0,19.0,8.0,24.0,5.0,0.0,34.0,14.0,0.0,0.0,3.0,0.0,4.0,0.0,0.04,0.0,39.0,72.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Pierre-Emerick Aubameyang,54694.0,118.0,65.0,56.0,38.0,0.0,0.0,71.0,0.0,0.0,69.0,32.0,53.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2503.0,21.21,19.0,188.0,0.0,0.0,0.0,5.0,1.0,44.0,72.0,4.0,52.0,9.0,10.0,46.0,1.0,0.55,9.0,44.0,284.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Serge Aurier,80226.0,77.0,5.0,40.0,19.0,16.0,75.0,217.0,65.0,1.0,11.0,104.0,190.0,117.0,0.0,396.0,517.0,443.0,79.0,167.0,148.0,1.0,1.0,12.0,3118.0,40.49,17.0,264.0,16.0,2.0,85.0,4.0,2.0,102.0,10.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Charlie Austin,78356.0,111.0,34.0,25.0,58.0,0.0,0.0,66.0,0.0,0.0,80.0,20.0,88.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1533.0,13.81,7.0,54.0,0.0,0.0,0.0,8.0,1.0,83.0,69.0,11.0,20.0,3.0,6.0,35.0,0.0,0.31,6.0,41.0,258.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Taiwo Awoniyi,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Jordan Ayew,80146.0,175.0,26.0,46.0,90.0,0.0,0.0,271.0,0.0,0.0,90.0,97.0,69.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3710.0,21.2,12.0,189.0,0.0,0.0,0.0,22.0,2.0,271.0,47.0,4.0,18.0,4.0,8.0,15.0,0.0,0.15,2.0,34.0,257.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
César Azpilicueta,-1.0,303.0,9.0,175.0,61.0,109.0,298.0,795.0,71.0,2.0,30.0,509.0,866.0,456.0,5.0,1522.0,1563.0,1106.0,77.0,542.0,429.0,3.0,0.0,34.0,17845.0,58.89,36.0,622.0,21.0,28.0,683.0,28.0,2.0,275.0,15.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Baba Rahman,-1.0,15.0,0.0,6.0,6.0,2.0,13.0,47.0,83.0,0.0,1.0,23.0,32.0,13.0,1.0,76.0,67.0,65.0,8.0,8.0,13.0,0.0,1.0,1.0,526.0,35.07,0.0,31.0,16.0,0.0,18.0,1.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Daniel Bachmann,-1.0,4.0,0.0,1.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,25.5,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,3.0,0.0,2.0,12.0,2.0,30.0,3
Owen Bailey,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Eric Bailly,197365.0,66.0,1.0,42.0,10.0,24.0,52.0,97.0,69.0,1.0,4.0,115.0,262.0,110.0,0.0,354.0,266.0,150.0,27.0,99.0,59.0,1.0,1.0,0.0,2244.0,34.0,0.0,2.0,2.0,1.0,120.0,9.0,1.0,55.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Leighton Baines,12745.0,420.0,32.0,164.0,134.0,113.0,446.0,767.0,75.0,6.0,92.0,533.0,1024.0,294.0,10.0,1352.0,1642.0,1258.0,232.0,193.0,237.0,2.0,2.0,53.0,14679.0,34.95,63.0,2331.0,26.0,20.0,786.0,46.0,0.0,279.0,40.0,0.0,1.0,31.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
