Name,id,appearances,goals,wins,losses,clean_sheets,goals_conceded,tackles,tackle_success_%,last_man_tackles,blocked_shots,interceptions,clearances,headed_clearance,clearances_off_line,recoveries,duels_won,duels_lost,successful_50/50s,aerial_battles_won,aerial_battles_lost,own_goals,errors_leading_to_goal,assists,passes,passes_per_match,big_chances_created,crosses,cross_accuracy_%,through_balls,accurate_long_balls,yellow_cards,red_cards,fouls,offsides,headed_goals,goals_with_right_foot,goals_with_left_foot,hit_woodwork,big_chances_missed,freekicks_scored,goals_per_match,penalties_scored,shooting_accuracy_%,shots,shots_on_target,catches,goal_kicks,high_claims,penalties_saved,punches,saves,sweeper_clearances,throw_outs,season
Joel Robles,-1.0,51.0,0.0,20.0,19.0,17.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1354.0,26.55,0.0,0.0,0.0,0.0,346.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,439.0,82.0,0.0,26.0,142.0,25.0,191.0,1
Hal Robson-Kanu,49440.0,94.0,14.0,20.0,51.0,0.0,0.0,23.0,0.0,0.0,21.0,31.0,39.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,758.0,8.06,2.0,102.0,0.0,0.0,0.0,7.0,1.0,91.0,17.0,3.0,2.0,9.0,2.0,7.0,0.0,0.15,1.0,40.0,85.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Joe Rodon,214225.0,13.0,0.0,6.0,4.0,2.0,15.0,14.0,64.0,1.0,0.0,21.0,42.0,21.0,0.0,39.0,45.0,18.0,0.0,23.0,15.0,0.0,1.0,0.0,451.0,34.69,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Jay Rodriguez,44683.0,212.0,42.0,61.0,89.0,0.0,0.0,180.0,0.0,0.0,99.0,84.0,116.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3115.0,14.69,17.0,138.0,0.0,0.0,0.0,13.0,0.0,186.0,114.0,9.0,25.0,7.0,10.0,38.0,0.0,0.2,2.0,36.0,412.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Marcos Rojo,58893.0,76.0,1.0,45.0,10.0,21.0,58.0,140.0,71.0,0.0,14.0,130.0,383.0,213.0,0.0,358.0,351.0,264.0,26.0,154.0,113.0,1.0,1.0,1.0,3503.0,46.09,1.0,83.0,22.0,2.0,238.0,23.0,0.0,81.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Sergio Romero,42899.0,7.0,0.0,4.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,25.86,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,10.0,1.0,1.0,20.0,5.0,39.0,1
Oriol Romeu,-1.0,207.0,5.0,73.0,75.0,0.0,0.0,551.0,67.0,0.0,45.0,360.0,276.0,109.0,0.0,1313.0,1153.0,1053.0,109.0,339.0,314.0,0.0,0.0,1.0,9287.0,44.86,15.0,32.0,28.0,11.0,470.0,55.0,0.0,285.0,5.0,0.0,4.0,1.0,2.0,3.0,0.0,0.02,0.0,21.0,129.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Salomón Rondón,57134.0,143.0,35.0,40.0,62.0,0.0,0.0,51.0,0.0,0.0,86.0,41.0,144.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2959.0,20.69,13.0,90.0,0.0,0.0,0.0,8.0,1.0,146.0,105.0,12.0,12.0,9.0,11.0,31.0,1.0,0.24,0.0,31.0,335.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Wayne Rooney,-1.0,491.0,208.0,284.0,103.0,0.0,0.0,303.0,0.0,0.0,301.0,206.0,240.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,14693.0,29.92,65.0,1083.0,0.0,0.0,0.0,102.0,3.0,368.0,179.0,21.0,124.0,21.0,29.0,54.0,7.0,0.42,23.0,38.0,1237.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Danny Rose,38290.0,197.0,9.0,95.0,58.0,42.0,194.0,450.0,78.0,5.0,39.0,318.0,433.0,230.0,3.0,961.0,1236.0,875.0,208.0,202.0,163.0,0.0,5.0,17.0,7479.0,37.96,22.0,623.0,18.0,11.0,345.0,51.0,2.0,251.0,9.0,1.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
