assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,position,init_price,team_code,gw,id,total_points,total_points_1,total_points_2,total_points_3,total_points_4
0,0,14,0,0.0,603,332,3,0,1.9,18.8,90,1,0,0,0,0,3,60346,3.0,0.0,0.0,-239,2628,2867,42,1,0,1.0,42.0,7.0,34,8432,9,2,6,2,-999
0,2,30,1,0.0,603,341,0,0,4.4,44.0,90,31,0,0,0,0,5,65810,0.0,2.0,0.0,3996,6731,2735,42,1,0,1.0,42.0,7.0,35,8432,2,6,2,-999,-999
0,0,10,0,0.0,603,355,1,0,0.5,5.4,90,11,0,0,0,0,0,72194,1.0,1.0,0.0,4633,7013,2380,42,0,0,1.0,42.0,7.0,36,8432,6,2,-999,-999,-999
0,0,20,1,0.0,603,361,0,0,0.5,4.6,90,3,0,0,0,0,0,73447,0.0,1.0,0.0,3102,5135,2033,42,1,0,1.0,42.0,7.0,37,8432,2,-999,-999,-999,-999
0,0,6,0,0.0,603,380,1,0,0.4,3.6,90,21,0,0,0,0,0,91985,1.0,1.0,0.0,12206,15222,3016,42,0,0,1.0,42.0,7.0,38,8432,-999,-999,-999,-999,-999
0,0,0,0,0.0,155,10,0,0,0.0,0.0,0,39,0,0,0,0,0,219323,2.0,2.0,0.0,0,0,0,40,0,0,1.0,39.0,11.0,1,10318,0,0,0,0,0
0,0,0,0,0.0,155,16,0,0,0.0,0.0,0,20,0,0,0,0,0,236986,1.0,2.0,0.0,-3656,3955,7611,40,1,0,1.0,39.0,11.0,2,10318,0,0,0,0,0
0,0,0,0,0.0,155,22,0,0,0.0,0.0,0,98,0,0,0,0,0,234167,2.0,2.0,0.0,-8534,4886,13420,40,0,0,1.0,39.0,11.0,3,10318,0,0,0,0,0
0,0,0,0,0.0,155,36,0,0,0.0,0.0,0,97,0,0,0,0,0,236099,1.0,1.0,0.0,-3135,7014,10149,40,1,0,1.0,39.0,11.0,4,10318,0,0,0,0,0
0,0,0,0,0.0,155,43,0,0,0.0,0.0,0,35,0,0,0,0,0,231787,3.0,1.0,0.0,-7206,5999,13205,40,1,0,1.0,39.0,11.0,5,10318,0,0,0,0,0
0,0,0,0,0.0,155,51,0,0,0.0,0.0,0,3,0,0,0,0,0,229225,0.0,2.0,0.0,-3764,2849,6613,40,0,0,1.0,39.0,11.0,6,10318,0,0,0,0,0
0,0,0,0,0.0,155,65,0,0,0.0,0.0,0,54,0,0,0,0,0,227573,0.0,3.0,0.0,-2597,1967,4564,40,1,0,1.0,39.0,11.0,7,10318,0,0,0,0,0
0,0,0,0,0.0,155,75,0,0,0.0,0.0,0,13,0,0,0,0,0,225941,2.0,1.0,0.0,-2364,1957,4321,40,0,0,1.0,39.0,11.0,8,10318,0,0,0,0,0
