name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,code,position,init_price,team_code
Aaron_Cresswell_402,0,0,0,0,0.0,402,337,0,0,0.0,0.0,2019-04-13T16:30:00Z,0,1,0,0,0,0,34,0,35815,1,2,0.0,0,-1040,166,1206,50,False,0,ARNKRSL,55459,2,50,21
Aaron_Lennon_83,0,0,0,0,0.0,83,332,0,0,0.0,0.0,2019-04-13T14:00:00Z,0,99,0,0,0,0,34,0,19118,0,2,0.0,0,-135,12,147,49,True,0,ARNLNN,17349,3,49,90
Aaron_Mooy_199,0,0,3,0,0.9,199,339,2,0,0.2,0.8,2019-04-13T11:30:00Z,8,6,0,0,0,0,34,0,62634,0,4,0.0,1,132,957,825,50,False,0,ARNM,74471,3,50,38
Aaron_Ramsey_14,0,0,14,1,31.9,14,340,0,0,8.5,14.0,2019-04-15T19:00:00Z,67,57,0,0,0,0,34,0,90435,1,0,39.0,3,16409,25642,9233,71,False,0,ARNRMS,41792,3,71,3
Aaron_Rowe_607,0,0,0,0,0.0,607,339,0,0,0.0,0.0,2019-04-13T11:30:00Z,0,6,0,0,0,0,34,0,30,0,4,0.0,0,0,6,6,45,False,0,ARNR,440113,3,45,38
Aaron_Wan-Bissaka_145,0,0,24,0,2.2,145,333,3,0,3.8,36.0,2019-04-14T13:05:00Z,90,43,0,0,0,0,34,0,1547779,3,1,0.0,1,-80506,24813,105319,45,True,0,ARNPSKN,214590,2,46,31
Abd-Al-Ali Morakinyo Olaposi_Koiki_564,0,0,0,0,0.0,564,332,0,0,0.0,0.0,2019-04-13T14:00:00Z,0,99,0,0,0,0,34,0,206,0,2,0.0,0,1,6,5,40,True,0,APTLLKKMRKNLPS,432793,2,40,90
Abdelhamid_Sabiri_205,0,0,0,0,0.0,205,339,0,0,0.0,0.0,2019-04-13T11:30:00Z,0,6,0,0,0,0,34,0,2941,0,4,0.0,0,-39,29,68,43,False,0,APTLMTSPR,246878,3,43,38
Abdoulaye_Doucour̩_390,0,0,9,0,12.3,390,340,1,0,2.2,7.4,2019-04-15T19:00:00Z,90,3,0,0,0,0,34,0,135715,1,0,2.0,2,46114,68315,22201,59,True,0,APTLTKR,121599,3,58,57
Aboubakar_Kamara_189,0,0,0,0,0.0,189,334,0,0,0.0,0.0,2019-04-13T14:00:00Z,0,11,0,0,0,0,34,0,347881,0,2,0.0,0,-9036,66,9102,45,True,0,APPKRKMR,197030,4,45,54
Adalberto_Pe̱aranda_554,0,0,0,0,0.0,554,340,0,0,0.0,0.0,2019-04-15T19:00:00Z,0,3,0,0,0,0,34,0,1144,1,0,0.0,0,-50,32,82,50,True,0,ATLPRTPRNT,194401,4,50,57
