name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,code,position,init_price,team_code
Aaron_Cresswell_402,0,0,7,0,0.9,402,139,0,0,2.4,20.6,2018-12-01T15:00:00Z,55,4,0,0,0,0,14,0,37336,3,0,2.0,1,-163,390,553,51,False,0,ARNKRSL,55459.0,2.0,50.0,21.0
Aaron_Lennon_83,0,0,4,0,1.7,83,134,1,0,0.3,1.2,2018-12-01T15:00:00Z,45,31,0,0,0,0,14,0,55953,0,2,0.0,1,-2648,764,3412,50,False,0,ARNLNN,17349.0,3.0,49.0,90.0
Aaron_Mooy_199,0,0,8,0,16.1,199,135,1,0,3.5,11.4,2018-12-01T15:00:00Z,62,36,0,0,0,0,14,0,123477,2,1,7.0,2,37834,40189,2355,51,True,0,ARNM,74471.0,3.0,50.0,38.0
Aaron_Ramsey_14,2,0,21,0,24.4,14,131,0,0,8.3,35.4,2018-12-02T14:05:00Z,45,6,0,0,0,0,14,0,68324,2,4,23.0,7,-4053,563,4616,73,True,0,ARNRMS,41792.0,3.0,71.0,3.0
Aaron_Wan-Bissaka_145,0,0,24,1,3.4,145,134,0,0,4.3,13.6,2018-12-01T15:00:00Z,90,90,0,0,0,0,14,0,1615940,0,2,26.0,6,53419,60576,7157,42,True,0,ARNPSKN,214590.0,2.0,46.0,31.0
Abdelhamid_Sabiri_205,0,0,0,0,0.0,205,135,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,36,0,0,0,0,14,0,4126,2,1,0.0,0,4,134,130,43,True,0,APTLMTSPR,246878.0,3.0,43.0,38.0
Abdoulaye_DoucourÃ©_390,0,0,8,0,5.5,390,136,2,0,2.5,4.6,2018-12-01T15:00:00Z,90,13,0,0,0,0,14,0,88691,0,2,15.0,2,-2883,1668,4551,59,False,0,APTLTKR,121599.0,3.0,58.0,57.0
Aboubakar_Kamara_189,0,0,-1,0,1.8,189,133,1,0,0.2,0.0,2018-12-02T12:00:00Z,45,8,0,0,0,0,14,0,465634,0,2,3.0,1,9138,21187,12049,43,False,0,APPKRKMR,197030.0,4.0,45.0,54.0
Adalberto_PeÃ±aranda_554,0,0,0,0,0.0,554,136,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,13,0,0,0,0,14,0,4,0,2,0.0,0,3,7,4,50,False,0,ATLPRTPRNT,194401.0,4.0,50.0,57.0
Adama_Diakhaby_471,0,0,0,0,0.0,471,135,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,36,0,0,0,0,14,0,1154,2,1,0.0,0,-24,17,41,46,True,0,ATMTKP,233497.0,3.0,45.0,38.0
Adama_TraorÃ©_500,0,0,2,0,3.3,500,132,1,0,3.5,5.8,2018-11-30T20:00:00Z,72,99,0,0,0,0,14,0,20575,1,2,26.0,2,-427,338,765,53,False,0,ATMTRR,159533.0,3.0,51.0,39.0
Adam_Lallana_250,0,0,0,0,0.0,250,137,0,0,0.0,0.0,2018-12-02T16:15:00Z,0,11,0,0,0,0,14,0,41693,0,1,0.0,0,-500,14,514,69,True,0,ATMLLN,39155.0,3.0,69.0,14.0
Adam_Masina_386,0,0,0,0,0.0,386,136,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,13,0,0,0,0,14,0,5870,0,2,0.0,0,-216,80,296,43,False,0,ATMMSN,155651.0,2.0,43.0,57.0
Adam_Smith_29,0,0,0,0,0.0,29,138,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,43,0,0,0,0,14,0,38386,1,3,0.0,0,-6076,45,6121,45,False,0,ATMSM0,54469.0,2.0,43.0,91.0
Ademola_Lookman_170,0,0,4,0,21.7,170,137,1,0,3.1,8.8,2018-12-02T16:15:00Z,27,14,0,0,0,0,14,0,5457,0,1,0.0,1,-7,93,100,51,False,0,ATMLLKMN,219352.0,3.0,49.0,11.0
Adrian_Mariappa_382,0,0,14,0,0.8,382,136,2,0,2.0,17.0,2018-12-01T15:00:00Z,90,13,0,0,0,0,14,0,16117,0,2,2.0,1,683,1411,728,42,False,0,ATRNMRP,20145.0,2.0,42.0,57.0
Adrien Sebastian_Perruchet Silva_231,0,0,0,0,0.0,231,136,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,57,0,0,0,0,14,0,10818,0,2,0.0,0,-82,50,132,48,True,0,ATRNPRXTSPSXNSLF,46483.0,3.0,47.0,13.0
AdriÃ¡n_San Miguel del Castillo_399,0,0,0,0,0.0,399,139,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,4,0,0,0,0,14,0,20352,3,0,0.0,0,-100,78,178,43,False,0,ATRNKSTLTLMKLSN,60706.0,1.0,42.0,21.0
Ainsley_Maitland-Niles_20,0,0,0,0,0.0,20,131,0,0,0.0,0.0,2018-12-02T14:05:00Z,0,6,0,0,0,0,14,0,14674,2,4,0.0,0,-88,127,215,44,True,0,ANSLMTLNTNLS,154043.0,3.0,44.0,3.0
Alberto_Moreno_240,0,0,0,0,0.0,240,137,0,0,0.0,0.0,2018-12-02T16:15:00Z,0,11,0,0,0,0,14,0,16004,0,1,0.0,0,-240,69,309,42,True,0,ALPRTMRN,100059.0,2.0,41.0,14.0
Aleksandar_Mitrovic_480,0,0,0,0,5.9,480,133,2,0,1.8,6.6,2018-12-02T12:00:00Z,90,8,0,0,0,0,14,0,1052794,0,2,5.0,2,61089,95330,34241,66,False,0,ALKSNTRMTRFK,128389.0,4.0,63.0,54.0
Alexander_SÃ¸rloth_153,0,0,1,0,0.5,153,134,0,0,0.4,1.0,2018-12-01T15:00:00Z,2,90,0,0,0,0,14,0,11871,0,2,2.0,1,-39,342,381,48,True,0,ALKSNTRSRL0,143877.0,4.0,48.0,31.0
Alexandre_Lacazette_22,0,2,31,0,4.6,22,131,0,1,5.2,36.6,2018-12-02T14:05:00Z,45,6,0,0,0,0,14,0,545908,2,4,11.0,7,-179406,3925,183331,96,True,0,ALKSNTRLKST,59966.0,4.0,94.0,3.0
Alexis_SÃ¡nchez_295,0,0,0,0,0.0,295,140,0,0,0.0,0.0,2018-12-01T17:30:00Z,0,20,0,0,0,0,14,0,79076,2,2,0.0,0,-2526,204,2730,100,False,0,ALKSSSNXS,37265.0,3.0,100.0,1.0
Alex_Iwobi_15,0,0,-2,0,3.8,15,131,2,0,4.8,2.4,2018-12-02T14:05:00Z,45,6,0,0,0,0,14,0,70314,2,4,42.0,1,-1402,2322,3724,55,True,0,ALKSP,153133.0,3.0,54.0,3.0
Alex_McCarthy_328,0,0,13,0,0.0,328,140,2,0,1.8,18.2,2018-12-01T17:30:00Z,90,1,0,0,0,0,14,3,199951,2,2,0.0,2,-4041,334,4375,45,True,0,ALKSMKR0,58376.0,1.0,43.0,20.0
Alex_Oxlade-Chamberlain_248,0,0,0,0,0.0,248,137,0,0,0.0,0.0,2018-12-02T16:15:00Z,0,11,0,0,0,0,14,0,2104,0,1,0.0,0,-17,9,26,64,True,0,ALKSXMPRLNKSLT,81880.0,3.0,64.0,14.0
Alex_Pritchard_206,0,0,0,0,3.2,206,135,1,0,4.3,0.0,2018-12-01T15:00:00Z,48,36,0,0,0,0,14,0,7689,2,1,41.0,1,2252,2801,549,48,True,0,ALKSPRXRT,106450.0,3.0,48.0,38.0
Alex_Smithies_89,0,0,0,0,0.0,89,132,0,0,0.0,0.0,2018-11-30T20:00:00Z,0,39,0,0,0,0,14,0,5637,1,2,0.0,0,-28,44,72,43,True,0,ALKSSM0S,45220.0,1.0,42.0,97.0
Alfie_Mawson_487,0,0,9,0,10.2,487,133,2,0,1.6,6.0,2018-12-02T12:00:00Z,90,8,0,0,0,0,14,0,7095,0,2,0.0,1,-149,57,206,49,False,0,ALFMSN,149266.0,2.0,47.0,54.0
Alfie_Whiteman_538,0,0,0,0,0.0,538,131,0,0,0.0,0.0,2018-12-02T14:05:00Z,0,3,0,0,0,0,14,0,8696,2,4,0.0,0,222,481,259,40,False,0,ALFTMN,175941.0,1.0,40.0,6.0
Alireza_Jahanbakhsh_476,0,0,0,0,0.0,476,135,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,97,0,0,0,0,14,0,39487,2,1,0.0,0,-548,6,554,67,False,0,ALRSJHNPKX,165210.0,3.0,67.0,36.0
Alisson_Ramses Becker_468,0,2,28,1,0.0,468,137,0,0,2.2,22.0,2018-12-02T16:15:00Z,90,11,0,0,0,0,14,3,1192504,0,1,0.0,9,-824,13181,14005,57,True,0,ALSNPKRRMSS,116535.0,1.0,59.0,14.0
Anders_Lindegaard_485,0,0,0,0,0.0,485,134,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,31,0,0,0,0,14,0,6594,0,2,0.0,0,-58,9,67,44,False,0,ANTRSLNTKRT,39725.0,1.0,43.0,90.0
