name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,code,position,init_price,team_code
Aaron_Cresswell_402,1,0,23,0,46.2,402,309,3,0,11.1,33.2,2019-03-16T15:00:00Z,90,97,0,0,0,0,31,0,60919,3,4,32.0,4,6227,6727,500,50,True,0,ARNKRSL,55459,2,50,21
Aaron_Lennon_83,0,0,0,0,0.0,83,303,0,0,0.0,0.0,2019-03-16T15:00:00Z,0,13,0,0,0,0,31,0,19382,2,1,0.0,0,-156,11,167,49,True,0,ARNLNN,17349,3,49,90
Aaron_Mooy_199,1,1,30,0,59.4,199,309,4,0,9.5,34.0,2019-03-16T15:00:00Z,90,35,0,0,0,0,31,0,63049,3,4,2.0,6,90,420,330,50,False,0,ARNM,74471,3,50,38
Aaron_Rowe_607,0,0,-5,0,1.2,607,309,1,0,0.0,0.0,2019-03-16T15:00:00Z,54,35,0,0,0,0,31,0,71,3,4,0.0,1,16,21,5,45,False,0,ARNR,440113,3,45,38
Abd-Al-Ali Morakinyo Olaposi_Koiki_564,0,0,0,0,0.0,564,303,0,0,0.0,0.0,2019-03-16T15:00:00Z,0,13,0,0,0,0,31,0,310,2,1,0.0,0,9,14,5,40,True,0,APTLLKKMRKNLPS,432793,2,40,90
Abdelhamid_Sabiri_205,0,0,0,0,0.0,205,309,0,0,0.0,0.0,2019-03-16T15:00:00Z,0,35,0,0,0,0,31,0,3014,3,4,0.0,0,-7,36,43,43,False,0,APTLMTSPR,246878,3,43,38
Aboubakar_Kamara_189,0,0,0,0,0.0,189,305,0,0,0.0,0.0,2019-03-17T14:15:00Z,0,14,0,0,0,0,31,0,364399,2,1,0.0,0,-15577,92,15669,45,True,0,APPKRKMR,197030,4,45,54
Adama_Diakhaby_471,0,0,0,0,0.0,471,309,0,0,0.0,0.0,2019-03-16T15:00:00Z,0,35,0,0,0,0,31,0,1179,3,4,0.0,0,-55,5,60,45,False,0,ATMTKP,233497,3,45,38
Adam_Lallana_250,0,0,10,1,14.5,250,305,0,0,4.5,20.0,2019-03-17T14:15:00Z,71,54,0,0,0,0,31,0,41673,2,1,10.0,3,501,631,130,69,False,0,ATMLLN,39155,3,69,14
Adam_Smith_29,0,0,0,0,0.0,29,301,0,0,0.0,0.0,2019-03-16T15:00:00Z,0,4,0,0,0,0,31,0,28933,2,2,0.0,0,-4232,294,4526,43,True,0,ATMSM0,54469,2,43,91
