id,appearances,goals,wins,losses,clean_sheets_x,goals_conceded_x,tackles,tackle_success_%,last_man_tackles,blocked_shots,interceptions,clearances,headed_clearance,clearances_off_line,recoveries,duels_won,duels_lost,successful_50/50s,aerial_battles_won,aerial_battles_lost,own_goals_x,errors_leading_to_goal,assists_x,passes,passes_per_match,big_chances_created,crosses,cross_accuracy_%,through_balls,accurate_long_balls,yellow_cards_x,red_cards_x,fouls,offsides,headed_goals,goals_with_right_foot,goals_with_left_foot,hit_woodwork,big_chances_missed,freekicks_scored,goals_per_match,penalties_scored,shooting_accuracy_%,shots,shots_on_target,catches,goal_kicks,high_claims,penalties_saved_x,punches,saves_x,sweeper_clearances,throw_outs,assists_y,bonus,bps,clean_sheets_y,creativity,element,fixture,goals_conceded_y,goals_scored,ict_index,influence,minutes,opponent_team,own_goals_y,penalties_missed,penalties_saved_y,red_cards_y,saves_y,selected,team_a_score,team_h_score,threat,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards_y,position,init_price,team_code,gw,total_points_1,total_points_2,total_points_3,total_points_4,total_points_5
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-5,0,0.0,158,10,2,0,0.0,0.0,39,39,0,0,0,1,0,100143,2.0,2.0,0.0,0,0,0,45,0,0,2.0,43.0,11.0,1,0,0,0,0,0
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,16,0,0,0.0,0.0,0,20,0,0,0,0,0,65137,1.0,2.0,0.0,-37734,897,38631,45,1,0,2.0,43.0,11.0,2,0,0,0,0,0
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,22,0,0,0.0,0.0,0,98,0,0,0,0,0,52941,2.0,2.0,0.0,-13362,789,14151,44,0,0,2.0,43.0,11.0,3,0,0,0,0,0
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,36,0,0,0.0,0.0,0,97,0,0,0,0,0,46007,1.0,1.0,0.0,-7476,495,7971,44,1,0,2.0,43.0,11.0,4,0,0,0,0,0
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,43,0,0,0.0,0.0,0,35,0,0,0,0,0,39537,3.0,1.0,0.0,-6667,140,6807,44,1,0,2.0,43.0,11.0,5,0,0,0,0,0
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,51,0,0,0.0,0.0,0,3,0,0,0,0,0,36436,0.0,2.0,0.0,-3249,62,3311,44,0,0,2.0,43.0,11.0,6,0,0,0,0,0
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,65,0,0,0.0,0.0,0,54,0,0,0,0,0,34387,0.0,3.0,0.0,-2148,78,2226,43,1,0,2.0,43.0,11.0,7,0,0,0,0,1
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,75,0,0,0.0,0.0,0,13,0,0,0,0,0,33129,2.0,1.0,0.0,-1343,76,1419,43,0,0,2.0,43.0,11.0,8,0,0,0,1,0
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,85,0,0,0.0,0.0,0,31,0,0,0,0,0,31454,0.0,2.0,0.0,-1724,78,1802,43,1,0,2.0,43.0,11.0,9,0,0,1,0,0
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,97,0,0,0.0,0.0,0,1,0,0,0,0,0,30738,1.0,2.0,0.0,-820,78,898,43,0,0,2.0,43.0,11.0,10,0,1,0,0,0
