name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,code,position,init_price,team_code
Aaron_Connolly_534,0,0,1,0,0.0,534,232,1,0,0.0,0.0,2020-01-21T19:30:00Z,30,91,0,0,0,0,24,0,92573,1,3,0.0,1,-3091,3610,6701,44,False,0,ARNKNL,233425,4,42,36
Aaron_Cresswell_376,0,0,9,0,19.5,376,234,4,0,3.7,13.2,2020-01-22T19:30:00Z,90,13,0,0,0,0,24,0,121950,1,4,4.0,0,13909,20400,6491,47,False,0,ARNKRSL,55459,2,45,21
Aaron_Cresswell_376,0,0,11,0,4.3,376,180,2,0,1.7,12.6,2020-01-29T19:45:00Z,90,14,0,0,0,0,24,0,121950,2,0,0.0,1,13909,20400,6491,47,True,0,ARNKRSL,55459,2,45,21
Aaron_Lennon_430,0,0,0,0,0.0,430,235,0,0,0.0,0.0,2020-01-22T20:15:00Z,0,1,0,0,0,0,24,0,6205,2,0,0.0,0,75,190,115,46,False,0,ARNLNN,17349,3,46,90
Aaron_Mooy_516,0,3,36,0,68.8,516,232,3,1,15.2,55.0,2020-01-21T19:30:00Z,90,91,0,0,0,0,24,0,43391,1,3,28.0,10,-832,3907,4739,48,False,0,ARNM,74471,3,47,36
Aaron_Ramsdale_494,0,0,24,0,0.0,494,232,1,0,4.5,45.2,2020-01-21T19:30:00Z,90,36,0,0,0,0,24,7,320219,1,3,0.0,4,-20114,5615,25729,47,True,0,ARNRMSTL,225321,1,44,91
Aaron_Wan-Bissaka_122,0,0,13,0,53.2,122,235,2,0,8.7,29.6,2020-01-22T20:15:00Z,90,90,0,0,0,0,24,0,1017565,2,0,4.0,1,-8481,11361,19842,53,True,0,ARNPSKN,214590,2,55,1
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0,0,0,0,0.0,596,235,0,0,0.0,0.0,2020-01-22T20:15:00Z,0,1,0,0,0,0,24,0,486,2,0,0.0,0,84,131,47,40,False,0,APTLLKKMRKNLPS,432793,2,40,90
Abdoulaye_DoucourÃÂ©_368,0,0,8,0,15.8,368,231,2,0,2.2,6.2,2020-01-21T19:30:00Z,90,7,0,0,0,0,24,0,190259,1,2,0.0,1,42623,56055,13432,56,False,1,APTLTKR,121599,3,54,57
Adama_TraorÃÂ©_417,1,0,30,0,40.3,417,237,2,0,9.0,27.6,2020-01-23T20:00:00Z,90,14,0,0,0,0,24,0,1277984,2,1,22.0,5,78968,151804,72836,57,True,0,ATMTRR,159533,3,56,39
Adam_Idah_538,0,0,0,0,0.0,538,240,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,6,0,0,0,0,24,0,9429,1,2,0.0,0,-532,301,833,44,False,0,ATMT,432735,4,44,45
Adam_Lallana_195,0,0,0,0,0.0,195,237,0,0,0.0,0.0,2020-01-23T20:00:00Z,0,39,0,0,0,0,24,0,9482,2,1,0.0,0,136,366,230,58,False,0,ATMLLN,39155,3,57,14
Adam_Lallana_195,0,0,0,0,0.0,195,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,21,0,0,0,0,24,0,9482,2,0,0.0,0,136,366,230,58,False,0,ATMLLN,39155,3,57,14
Adam_Masina_355,0,0,17,0,19.3,355,231,2,0,3.8,18.2,2020-01-21T19:30:00Z,90,7,0,0,0,0,24,0,6792,1,2,0.0,1,1313,1555,242,43,False,0,ATMMSN,155651,2,43,57
Adam_Smith_63,0,0,9,0,0.7,63,232,1,0,1.6,13.4,2020-01-21T19:30:00Z,90,36,0,0,0,0,24,0,30918,1,3,2.0,2,-269,469,738,43,True,0,ATMSM0,54469,2,43,91
Adam_Webster_493,0,0,14,0,2.3,493,232,3,0,2.3,16.6,2020-01-21T19:30:00Z,90,91,0,0,0,0,24,0,56546,1,3,4.0,1,-1242,4481,5723,44,False,0,ATMPSTR,110735,2,44,36
Addji Keaninkin Marc-Israel_Guehi_545,0,0,0,0,0.0,545,238,0,0,0.0,0.0,2020-01-21T20:15:00Z,0,3,0,0,0,0,24,0,6337,2,2,0.0,0,-214,55,269,40,True,0,ATJKHSRLKNNKNMRK,209036,2,39,8
Ademola_Lookman_155,0,0,0,0,0.0,155,233,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,4,0,0,0,0,24,0,459,2,2,0.0,0,0,4,4,50,True,0,ATMLLKMN,219352,3,50,11
Adrian_Mariappa_356,0,0,15,0,14.7,356,231,2,0,4.8,33.6,2020-01-21T19:30:00Z,90,7,0,0,0,0,24,0,25754,1,2,0.0,1,7040,8462,1422,42,False,0,ATRNMRP,20145,2,41,57
AdriÃÂ¡n_San Miguel del Castillo_526,0,0,0,0,0.0,526,237,0,0,0.0,0.0,2020-01-23T20:00:00Z,0,39,0,0,0,0,24,0,144549,2,1,0.0,0,-10085,935,11020,41,False,0,ATRNKSTLTLMKLSN,60706,1,40,14
AdriÃÂ¡n_San Miguel del Castillo_526,0,0,0,0,0.0,526,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,21,0,0,0,0,24,0,144549,2,0,0.0,0,-10085,935,11020,41,False,0,ATRNKSTLTLMKLSN,60706,1,40,14
Ahmed_El Mohamady_22,0,0,0,0,0.0,22,231,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,57,0,0,0,0,24,0,68286,1,2,0.0,0,-2100,542,2642,42,True,0,AMTLMHMT,37339,2,41,7
Ainsley_Maitland-Niles_4,0,0,0,0,0.0,4,238,0,0,0.0,0.0,2020-01-21T20:15:00Z,0,8,0,0,0,0,24,0,195567,2,2,0.0,0,-3647,2885,6532,46,False,0,ANSLMTLNTNLS,154043,2,45,3
Akin_Famewo_552,0,0,0,0,0.0,552,240,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,6,0,0,0,0,24,0,4782,1,2,0.0,0,-183,17,200,40,False,0,AKNFM,232667,2,39,45
Albian_Ajeti_514,0,0,0,0,0.0,514,234,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,13,0,0,0,0,24,0,2862,1,4,0.0,0,175,248,73,57,False,0,AJTLPN,181008,4,56,21
Albian_Ajeti_514,0,0,0,0,0.0,514,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,14,0,0,0,0,24,0,2862,2,0,0.0,0,175,248,73,57,True,0,AJTLPN,181008,4,56,21
Alexander_Tettey_289,0,0,19,0,12.1,289,240,2,0,3.4,13.0,2020-01-22T19:30:00Z,81,6,0,0,0,0,24,0,26193,1,2,9.0,2,-832,910,1742,45,False,0,ALKSNTRTT,18665,3,44,45
Alexandre Nascimento_Costa Silva_387,0,0,0,0,0.0,387,234,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,13,0,0,0,0,24,0,65026,1,4,0.0,0,98,1618,1520,43,False,0,ALKSNTRKSTNSMNTSLF,209925,4,43,21
Alexandre Nascimento_Costa Silva_387,0,0,0,0,0.0,387,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,14,0,0,0,0,24,0,65026,2,0,0.0,0,98,1618,1520,43,True,0,ALKSNTRKSTNSMNTSLF,209925,4,43,21
Alexandre_Lacazette_12,0,0,8,0,2.9,12,238,2,0,2.0,9.0,2020-01-21T20:15:00Z,90,8,0,0,0,0,24,0,155956,2,2,8.0,2,-15666,8176,23842,93,False,0,ALKSNTRLKST,59966,4,92,3
Alexis_SÃÂ¡nchez_240,0,0,0,0,0.0,240,235,0,0,0.0,0.0,2020-01-22T20:15:00Z,0,90,0,0,0,0,24,0,28515,2,0,0.0,0,-83,22,105,68,True,0,ALKSSSNXS,37265,3,68,1
Alex_Iwobi_17,0,0,0,0,0.0,17,233,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,4,0,0,0,0,24,0,66860,2,2,0.0,0,-856,13,869,56,True,0,ALKSP,153133,3,56,11
Alex_McCarthy_318,0,0,20,1,0.0,318,239,0,0,0.1,1.4,2020-01-21T19:30:00Z,90,31,0,0,0,0,24,0,218805,2,0,0.0,6,14156,23653,9497,44,False,0,ALKSMKR0,58376,1,45,20
Alex_Oxlade-Chamberlain_193,0,0,7,0,2.3,193,237,1,0,0.9,6.2,2020-01-23T20:00:00Z,69,39,0,0,0,0,24,0,35219,2,1,0.0,2,5945,7068,1123,62,False,0,ALKSXMPRLNKSLT,81880,3,61,14
Alex_Oxlade-Chamberlain_193,0,2,33,1,15.4,193,180,0,1,7.5,41.8,2020-01-29T19:45:00Z,84,21,0,0,0,0,24,0,35219,2,0,18.0,10,5945,7068,1123,62,False,0,ALKSXMPRLNKSLT,81880,3,61,14
Alfie_Whiteman_543,0,0,0,0,0.0,543,240,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,45,0,0,0,0,24,0,40509,1,2,0.0,0,-784,424,1208,40,True,0,ALFTMN,175941,1,40,6
Alireza_Jahanbakhsh_50,0,0,6,0,12.3,50,232,2,0,3.1,7.6,2020-01-21T19:30:00Z,59,91,0,0,0,0,24,0,10881,1,3,11.0,1,-1967,441,2408,58,False,0,ALRSJHNPKX,165210,3,58,36
Alisson_Ramses Becker_189,0,0,14,0,0.0,189,237,1,0,2.1,20.8,2020-01-23T20:00:00Z,90,39,0,0,0,0,24,2,783914,2,1,0.0,2,83244,95778,12534,61,False,0,ALSNPKRRMSS,116535,1,62,14
Alisson_Ramses Becker_189,0,0,28,1,0.0,189,180,0,0,3.2,32.4,2020-01-29T19:45:00Z,90,21,0,0,0,0,24,4,783914,2,0,0.0,7,83244,95778,12534,61,False,0,ALSNPKRRMSS,116535,1,62,14
Allan_Saint-Maximin_500,0,0,0,0,0.0,500,233,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,11,0,0,0,0,24,0,20701,2,2,0.0,0,3263,3815,552,54,False,0,ALNMKSMNSNT,170137,3,52,4
Andreas_Christensen_108,0,0,11,0,13.6,108,238,2,0,3.6,15.4,2020-01-21T20:15:00Z,90,3,0,0,0,0,24,0,42337,2,2,7.0,0,166,599,433,49,True,1,ANTRSXRSTNSN,135363,2,48,8
Andreas_Pereira_246,0,0,4,0,13.8,246,235,1,0,4.3,3.0,2020-01-22T20:15:00Z,45,90,0,0,0,0,24,0,36851,2,0,26.0,1,1137,3212,2075,49,True,0,ANTRSPRR,156689,3,47,1
Andrew_Robertson_181,0,0,11,0,20.5,181,237,1,0,3.1,10.0,2020-01-23T20:00:00Z,90,39,0,0,0,0,24,0,1532185,2,1,0.0,1,62628,103141,40513,70,False,1,ANTRRPRTSN,122798,2,70,14
Andrew_Robertson_181,0,0,24,1,6.4,181,180,0,0,2.2,7.4,2020-01-29T19:45:00Z,90,21,0,0,0,0,24,0,1532185,2,0,8.0,6,62628,103141,40513,70,False,0,ANTRRPRTSN,122798,2,70,14
Andrew_Surman_80,0,0,0,0,0.0,80,232,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,36,0,0,0,0,24,0,2581,1,3,0.0,0,2,33,31,47,True,0,ANTRSRMN,15237,3,47,91
Andre_Gray_364,0,0,2,0,0.0,364,231,1,0,0.0,0.0,2020-01-21T19:30:00Z,9,7,0,0,0,0,24,0,26436,1,2,0.0,1,-189,311,500,56,False,0,ANTRKR,73426,4,55,57
Andre_Green_32,0,0,0,0,0.0,32,231,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,57,0,0,0,0,24,0,772,1,2,0.0,0,-2,10,12,49,True,0,ANTRKRN,174597,3,48,7
Andriy_Yarmolenko_392,0,0,0,0,0.0,392,234,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,13,0,0,0,0,24,0,62592,1,4,0.0,0,-2948,18,2966,53,False,0,ANTRRMLNK,56377,3,52,21
