,code,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,prev_total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,position,init_price,team_code,total_points
0,233425,Aaron_Connolly_534,0,0,1,0,0.3,534,43,1,0,2.2,1.0,2019-09-14T14:00:00Z,6,90,0,0,0,0,5,0,14029,1,1,21.0,1,10589,13500,2911,45,True,0,ARNKNL,4,42,36,1
1,55459,Aaron_Cresswell_376,0,0,0,0,0.0,376,41,0,0,0.0,0.0,2019-09-16T19:00:00Z,0,7,0,0,0,0,5,0,22270,0,0,0.0,0,-1555,1033,2588,49,False,0,ARNKRSL,2,45,21,14
2,17349,Aaron_Lennon_430,0,0,-3,0,1.6,430,43,1,0,0.8,2.4,2019-09-14T14:00:00Z,58,36,0,0,0,0,5,0,8030,1,1,4.0,0,118,957,839,49,False,1,ARNLNN,3,46,90,1
3,74471,Aaron_Mooy_516,0,0,4,0,0.9,516,43,1,0,0.2,1.4,2019-09-14T14:00:00Z,10,90,0,0,0,0,5,0,12636,1,1,0.0,1,-1573,418,1991,49,True,0,ARNM,3,47,36,3
4,225321,Aaron_Ramsdale_494,0,0,19,0,0.0,494,42,1,0,3.4,33.6,2019-09-15T13:00:00Z,90,11,0,0,0,0,5,4,22068,1,3,0.0,3,1724,3887,2163,45,True,0,ARNRMSTL,1,44,91,10
5,214590,Aaron_Wan-Bissaka_122,0,0,21,1,12.4,122,45,0,0,2.7,14.2,2019-09-14T14:00:00Z,90,13,0,0,0,0,5,0,1719305,0,1,0.0,6,-500027,21884,521911,55,True,0,ARNPSKN,2,55,1,1
6,121599,Abdoulaye_DoucourÃÂÃÂ©_368,0,0,14,0,39.8,368,49,2,0,9.3,20.2,2019-09-15T15:30:00Z,90,3,0,0,0,0,5,0,88756,2,2,33.0,2,-17148,701,17849,58,True,0,APTLTKR,3,54,57,2
7,159533,Adama_TraorÃÂÃÂ©_417,0,0,7,0,15.8,417,50,4,0,2.8,12.6,2019-09-14T14:00:00Z,55,8,0,0,0,0,5,0,23192,5,2,0.0,1,1265,3918,2653,50,True,0,ATMTRR,3,56,39,8
8,432735,Adam_Idah_538,0,0,0,0,0.0,538,46,0,0,0.0,0.0,2019-09-14T16:30:00Z,0,43,0,0,0,0,5,0,0,2,3,0.0,0,0,0,0,45,True,0,ATMT,4,44,45,0
9,39155,Adam_Lallana_195,0,0,0,0,0.0,195,44,0,0,0.0,0.0,2019-09-14T11:30:00Z,0,4,0,0,0,0,5,0,7464,1,3,0.0,0,-534,225,759,59,True,0,ATMLLN,3,57,14,1
