,code,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,prev_total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,position,init_price,team_code,total_points
0,233425,Aaron_Connolly_534,0,0,1,0,0.1,534,37,1,0,0.0,0.2,2019-08-31T14:00:00Z,24,43,0,0,0,0,4,0,0,0,4,0.0,1,0,0,0,45,False,0,ARNKNL,4,42,36,1
1,55459,Aaron_Cresswell_376,0,0,0,0,0.0,376,40,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,45,0,0,0,0,4,0,23220,0,2,0.0,0,-2026,1064,3090,49,True,0,ARNKRSL,2,45,21,0
2,17349,Aaron_Lennon_430,0,0,7,0,2.4,430,32,3,0,0.5,2.8,2019-08-31T16:30:00Z,90,14,0,0,0,0,4,0,7475,3,0,0.0,2,-852,343,1195,49,True,0,ARNLNN,3,46,90,0
3,74471,Aaron_Mooy_516,0,0,0,0,0.0,516,37,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,43,0,0,0,0,4,0,13914,0,4,0.0,0,-2921,388,3309,50,False,0,ARNM,3,47,36,1
4,225321,Aaron_Ramsdale_494,0,0,13,0,0.0,494,36,3,0,1.3,13.0,2019-08-31T14:00:00Z,90,13,0,0,0,0,4,2,19406,1,3,0.0,1,4356,7190,2834,45,False,0,ARNRMSTL,1,44,91,3
5,214590,Aaron_Wan-Bissaka_122,0,0,13,0,13.2,122,39,1,0,5.0,27.0,2019-08-31T11:30:00Z,90,20,0,0,0,0,4,0,2212774,1,1,10.0,2,-159617,59340,218957,56,False,0,ARNPSKN,2,55,1,6
6,121599,Abdoulaye_DoucourÃÂÃÂ©_368,0,0,9,0,3.7,368,38,1,0,3.3,7.4,2019-08-31T14:00:00Z,70,4,0,0,0,0,4,0,104908,1,1,22.0,1,-25500,1172,26672,59,False,1,APTLTKR,3,54,57,2
7,159533,Adama_TraorÃÂÃÂ©_417,0,0,6,0,1.3,417,35,3,0,1.7,13.4,2019-09-01T13:00:00Z,90,11,0,0,0,0,4,0,20863,2,3,2.0,2,-457,2396,2853,50,False,0,ATMTRR,3,56,39,1
8,39155,Adam_Lallana_195,0,0,0,0,0.0,195,32,0,0,0.0,0.0,2019-08-31T16:30:00Z,0,90,0,0,0,0,4,0,7520,3,0,0.0,0,-457,300,757,59,False,0,ATMLLN,3,57,14,0
9,155651,Adam_Masina_355,0,0,0,0,0.0,355,38,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,4,0,0,0,0,4,0,4512,1,1,0.0,0,-354,46,400,44,False,0,ATMMSN,2,43,57,0
10,54469,Adam_Smith_63,0,0,12,0,1.3,63,36,2,0,3.1,7.2,2019-08-31T14:00:00Z,63,13,0,0,0,0,4,0,75064,1,3,22.0,1,-5546,3428,8974,45,False,0,ATMSM0,2,43,91,0
11,110735,Adam_Webster_493,0,0,15,0,0.8,493,37,4,0,2.1,18.4,2019-08-31T14:00:00Z,90,43,0,0,0,0,4,0,5678,0,4,2.0,0,-542,53,595,44,False,0,ATMPSTR,2,44,36,2
12,219352,Ademola_Lookman_155,0,0,0,0,0.0,155,35,0,0,0.0,0.0,2019-09-01T13:00:00Z,0,39,0,0,0,0,4,0,531,2,3,0.0,0,-51,17,68,50,True,0,ATMLLKMN,3,50,11,0
13,20145,Adrian_Mariappa_356,0,0,0,0,0.0,356,38,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,4,0,0,0,0,4,0,12689,1,1,0.0,0,-1158,156,1314,44,False,0,ATRNMRP,2,41,57,0
14,60706,AdriÃÂÃÂ¡n_San Miguel del Castillo_526,0,0,25,1,0.0,526,32,0,0,2.1,20.8,2019-08-31T16:30:00Z,90,90,0,0,0,0,4,2,330807,3,0,0.0,6,82258,107126,24868,45,False,0,ATRNKSTLTLMKLSN,1,40,14,2
15,37339,Ahmed_El Mohamady_22,0,0,0,0,0.0,22,34,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,31,0,0,0,0,4,0,114557,0,1,0.0,0,-11443,4902,16345,45,False,0,AMTLMHMT,2,41,7,1
16,154043,Ainsley_Maitland-Niles_4,0,0,19,0,41.7,4,31,2,0,8.3,29.4,2019-09-01T15:30:00Z,90,6,0,0,0,0,4,0,389576,2,2,12.0,1,31961,81984,50023,51,True,0,ANSLMTLNTNLS,2,45,3,4
17,181008,Albian_Ajeti_514,0,0,0,0,0.0,514,40,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,45,0,0,0,0,4,0,2855,0,2,0.0,0,-522,159,681,59,True,0,AJTLPN,4,56,21,0
18,18665,Alexander_Tettey_289,0,0,0,0,0.0,289,40,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,21,0,0,0,0,4,0,13655,0,2,0.0,0,-335,1265,1600,45,False,0,ALKSNTRTT,3,44,45,2
19,209925,Alexandre Nascimento_Costa Silva_387,0,0,0,0,0.0,387,40,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,45,0,0,0,0,4,0,98987,0,2,0.0,0,-18602,1785,20387,45,True,0,ALKSNTRKSTNSMNTSLF,4,43,21,0
20,59966,Alexandre_Lacazette_12,0,0,22,0,12.1,12,31,2,1,12.2,40.6,2019-09-01T15:30:00Z,66,6,0,0,0,0,4,0,201972,2,2,69.0,5,-24962,14586,39548,95,True,1,ALKSNTRLKST,4,92,3,0
21,37265,Alexis_SÃÂÃÂ¡nchez_240,0,0,0,0,0.0,240,39,0,0,0.0,0.0,2019-08-31T11:30:00Z,0,20,0,0,0,0,4,0,37662,1,1,0.0,0,-5983,124,6107,69,False,0,ALKSSSNXS,3,68,1,0
22,153133,Alex_Iwobi_17,0,2,30,0,15.7,17,35,2,1,8.3,46.6,2019-09-01T13:00:00Z,75,39,0,0,0,0,4,0,97303,2,3,21.0,9,-10675,8669,19344,59,True,0,ALKSP,3,56,11,2
23,58376,Alex_McCarthy_318,0,0,0,0,0.0,318,39,0,0,0.0,0.0,2019-08-31T11:30:00Z,0,1,0,0,0,0,4,0,35208,1,1,0.0,0,-2983,679,3662,44,True,0,ALKSMKR0,1,45,20,0
24,81880,Alex_Oxlade-Chamberlain_193,0,0,5,0,1.3,193,32,0,0,1.7,8.2,2019-08-31T16:30:00Z,19,90,0,0,0,0,4,0,25847,3,0,7.0,1,-2655,1692,4347,64,False,0,ALKSXMPRLNKSLT,3,61,14,2
25,165210,Alireza_Jahanbakhsh_50,0,0,0,0,0.0,50,37,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,43,0,0,0,0,4,0,4925,0,4,0.0,0,-551,52,603,59,False,0,ALRSJHNPKX,3,58,36,0
26,116535,Alisson_Ramses Becker_189,0,0,0,0,0.0,189,32,0,0,0.0,0.0,2019-08-31T16:30:00Z,0,90,0,0,0,0,4,0,482277,3,0,0.0,0,-98732,2088,100820,58,False,0,ALSNPKRRMSS,1,62,14,0
27,170137,Allan_Saint-Maximin_500,0,0,0,0,0.0,500,38,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,57,0,0,0,0,4,0,19260,1,1,0.0,0,-8807,304,9111,54,True,0,ALNMKSMNSNT,3,52,4,0
28,135363,Andreas_Christensen_108,0,0,0,0,0.0,108,33,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,49,0,0,0,0,4,0,89847,2,2,0.0,0,8389,18642,10253,50,True,0,ANTRSXRSTNSN,2,48,8,0
29,156689,Andreas_Pereira_246,0,0,5,0,3.2,246,39,1,0,3.3,6.4,2019-08-31T11:30:00Z,67,20,0,0,0,0,4,0,44652,1,1,23.0,2,-16548,2412,18960,50,False,0,ANTRSPRR,3,47,1,3
30,122798,Andrew_Robertson_181,0,0,26,1,5.0,181,32,0,0,1.6,9.0,2019-08-31T16:30:00Z,90,90,0,0,0,0,4,0,1481300,3,0,2.0,6,-169054,24738,193792,69,False,0,ANTRRPRTSN,2,70,14,5
31,15237,Andrew_Surman_80,0,0,3,0,0.8,80,36,0,0,0.3,2.0,2019-08-31T14:00:00Z,11,13,0,0,0,0,4,0,3331,1,3,0.0,1,-361,94,455,49,False,0,ANTRSRMN,3,47,91,0
32,73426,Andre_Gray_364,0,0,6,0,1.8,364,38,1,0,0.5,0.0,2019-08-31T14:00:00Z,81,4,0,0,0,0,4,0,49521,1,1,4.0,2,7058,14609,7551,59,False,0,ANTRKR,4,55,57,1
33,174597,Andre_Green_32,0,0,0,0,0.0,32,34,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,31,0,0,0,0,4,0,981,0,1,0.0,0,-133,36,169,49,False,0,ANTRKRN,3,48,7,0
34,56377,Andriy_Yarmolenko_392,0,0,22,1,24.3,392,40,0,1,9.3,33.4,2019-08-31T14:00:00Z,70,45,0,0,0,0,4,0,9672,0,2,35.0,8,-302,1058,1360,59,True,0,ANTRRMLNK,3,52,21,3
35,60252,Andros_Townsend_135,0,0,4,0,10.5,135,34,0,0,2.0,9.4,2019-08-31T14:00:00Z,6,7,0,0,0,0,4,0,158706,0,1,0.0,1,-27451,3864,31315,59,True,0,ANTRSTNSNT,3,56,31,2
36,120250,AndrÃÂÃÂ© Filipe_Tavares Gomes_422,0,0,20,0,18.3,422,35,2,0,4.1,20.2,2019-09-01T13:00:00Z,90,39,0,0,0,0,4,0,48114,2,3,2.0,2,-5664,1979,7643,54,True,0,ANTRFLPKMSTFRS,3,52,11,0
37,40142,Andy_Carroll_520,0,0,0,0,0.0,520,38,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,57,0,0,0,0,4,0,6141,1,1,0.0,0,-1329,205,1534,55,True,0,ANTKRL,4,54,4,0
38,13152,Andy_King_480,0,0,0,0,0.0,480,36,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,91,0,0,0,0,4,0,27412,1,3,0.0,0,-1708,5063,6771,44,True,0,ANTKNK,3,42,13,0
39,11948,Andy_Lonergan_530,0,0,0,0,0.0,530,32,0,0,0.0,0.0,2019-08-31T16:30:00Z,0,90,0,0,0,0,4,0,1325,3,0,0.0,0,-250,80,330,45,False,0,ANTLNRKN,1,42,14,0
40,40669,Angelo_Ogbonna_377,0,0,19,1,0.4,377,40,0,0,1.2,9.8,2019-08-31T14:00:00Z,90,45,0,0,0,0,4,0,20596,0,2,2.0,6,-505,919,1424,45,True,0,ANJLKPN,2,45,21,6
41,209041,Angel_Gomes_245,0,0,0,0,0.0,245,39,0,0,0.0,0.0,2019-08-31T11:30:00Z,0,20,0,0,0,0,4,0,7333,1,1,0.0,0,-455,684,1139,49,False,0,ANJLKMS,3,47,1,0
42,107265,Angus_Gunn_319,0,1,23,0,0.0,319,39,1,0,4.6,45.8,2019-08-31T11:30:00Z,90,1,0,0,0,0,4,7,64626,1,1,0.0,5,8635,14328,5693,45,True,0,ANKSKN,1,42,20,9
43,83543,Anthony_Knockaert_52,0,0,0,0,0.0,52,37,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,43,0,0,0,0,4,0,773,0,4,0.0,0,-85,17,102,54,False,0,AN0NKNKRT,3,53,36,0
44,148225,Anthony_Martial_239,0,0,0,0,0.0,239,39,0,0,0.0,0.0,2019-08-31T11:30:00Z,0,20,0,0,0,0,4,0,680768,1,1,0.0,0,-460536,93181,553717,77,False,0,AN0NMRXL,3,85,1,0
45,102380,Antonio_RÃÂÃÂ¼diger_104,0,0,0,0,0.0,104,33,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,49,0,0,0,0,4,0,6812,2,2,0.0,0,-865,184,1049,60,True,0,ANTNRTJR,2,59,8,1
46,193488,Anwar_El Ghazi_30,0,0,0,0,0.0,30,34,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,31,0,0,0,0,4,0,31576,0,1,0.0,0,6034,10398,4364,55,False,0,ANRLKS,3,52,7,3
47,220307,Arnaut_Danjuma Groeneveld_492,0,0,0,0,0.0,492,36,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,13,0,0,0,0,4,0,1914,1,3,0.0,0,-496,16,512,59,False,0,ARNTTNJMKRNFLT,3,58,91,0
48,105717,Arthur_Masuaku_378,1,3,49,1,27.0,378,40,0,0,7.9,50.4,2019-08-31T14:00:00Z,90,45,0,0,0,0,4,0,23450,0,2,2.0,12,88,1930,1842,45,True,0,AR0RMSK,2,41,21,3
49,18726,Artur_Boruc_73,0,0,0,0,0.0,73,36,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,13,0,0,0,0,4,0,22198,1,3,0.0,0,-1416,725,2141,44,False,0,ARTRPRK,1,42,91,0
50,44699,Ashley_Barnes_90,0,0,0,0,4.0,90,32,2,0,0.2,0.0,2019-08-31T16:30:00Z,72,14,0,0,0,0,4,0,666994,3,0,5.0,2,177972,259444,81472,67,True,0,AXLPRNS,4,61,90,2
51,60551,Ashley_Westwood_101,0,0,13,0,15.3,101,32,3,0,2.7,12.0,2019-08-31T16:30:00Z,90,14,0,0,0,0,4,0,37558,3,0,0.0,2,-5633,897,6530,54,True,0,AXLSTT,3,55,90,1
52,18892,Ashley_Young_224,0,0,7,0,14.4,224,39,1,0,2.6,8.8,2019-08-31T11:30:00Z,90,20,0,0,0,0,4,0,24031,1,1,3.0,1,160,2948,2788,54,False,1,AXLNK,2,54,1,6
53,40349,Asmir_Begovic_72,0,0,0,0,0.0,72,36,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,13,0,0,0,0,4,0,137053,1,3,0.0,0,-12967,2599,15566,44,False,0,ASMRPKFK,1,42,91,0
54,180804,Axel_Tuanzebe_481,0,0,0,0,0.0,481,39,0,0,0.0,0.0,2019-08-31T11:30:00Z,0,20,0,0,0,0,4,0,8091,1,1,0.0,0,-401,394,795,44,False,0,AKSLTNSP,2,44,1,1
55,146941,Aymeric_Laporte_202,0,0,0,0,0.5,202,37,0,0,0.3,2.4,2019-08-31T14:00:00Z,36,36,0,0,0,0,4,0,546531,0,4,0.0,0,-13274,37221,50495,65,True,1,AMRKLPRT,2,63,43,0
56,168580,Ayoze_PÃÂÃÂ©rez_265,0,0,0,0,0.0,265,36,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,91,0,0,0,0,4,0,517634,1,3,0.0,0,-191754,9412,201166,63,True,0,ASPRS,3,60,13,1
57,220037,Bailey_Peacock-Farrell_495,0,0,0,0,0.0,495,32,0,0,0.0,0.0,2019-08-31T16:30:00Z,0,14,0,0,0,0,4,0,5051,3,0,0.0,0,-169,139,308,45,True,0,PLFRLPKK,1,43,90,0
58,108823,Bamidele_Alli_344,0,0,3,0,0.9,344,31,1,0,0.3,2.2,2019-09-01T15:30:00Z,30,3,0,0,0,0,4,0,20998,2,2,0.0,1,-1603,696,2299,84,False,0,ALPMTL,3,83,6,0
59,172850,Benjamin_Chilwell_161,1,0,20,0,25.6,161,36,1,0,5.2,26.2,2019-08-31T14:00:00Z,90,91,0,0,0,0,4,0,231126,1,3,0.0,5,-43551,2577,46128,54,True,0,PNJMNXLL,2,54,13,1
60,102826,Benjamin_Mendy_204,0,0,0,0,0.0,204,37,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,36,0,0,0,0,4,0,14110,0,4,0.0,0,-1788,230,2018,59,True,0,PNJMNMNT,2,55,43,0
61,115556,Ben_Davies_329,0,0,0,0,0.0,329,31,0,0,0.0,0.0,2019-09-01T15:30:00Z,0,3,0,0,0,0,4,0,9789,2,2,0.0,0,-433,658,1091,55,False,0,PNTFS,2,53,6,1
62,9089,Ben_Foster_366,0,2,21,0,0.0,366,38,1,0,2.5,25.4,2019-08-31T14:00:00Z,90,4,0,0,0,0,4,4,135423,1,1,0.0,5,-12070,2223,14293,49,False,0,PNFSTR,1,49,57,1
63,83312,Ben_Gibson_89,0,0,0,0,0.0,89,32,0,0,0.0,0.0,2019-08-31T16:30:00Z,0,14,0,0,0,0,4,0,189140,3,0,0.0,0,-3642,9650,13292,40,True,0,PNJPSN,2,39,90,0
64,198826,Ben_Godfrey_273,0,0,15,0,1.4,273,40,2,0,2.0,18.2,2019-08-31T14:00:00Z,90,21,0,0,0,0,4,0,16859,0,2,0.0,1,910,2356,1446,45,False,0,PNKTFR,2,44,45,1
65,222018,Ben_Johnson_384,0,0,0,0,0.0,384,40,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,45,0,0,0,0,4,0,86914,0,2,0.0,0,1881,8230,6349,40,True,0,PNJNSN,2,40,21,0
66,51927,Ben_Mee_83,0,0,9,0,0.3,83,32,3,0,2.4,23.6,2019-08-31T16:30:00Z,90,14,0,0,0,0,4,0,53936,3,0,0.0,1,-960,3546,4506,50,True,0,PNM,2,49,90,2
67,167878,Ben_Osborn_472,0,0,4,0,10.3,472,33,0,0,1.9,6.2,2019-08-31T14:00:00Z,6,8,0,0,0,0,4,0,2436,2,2,2.0,1,-267,37,304,49,False,0,PNSPRN,3,47,49,0
68,38490,Beram_Kayal_56,0,0,0,0,0.0,56,37,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,43,0,0,0,0,4,0,4631,0,4,0.0,0,-171,688,859,44,False,0,PRMKL,3,42,36,0
69,165809,Bernardo Mota_Veiga de Carvalho e Silva_218,0,0,19,0,1.1,218,37,0,1,5.4,34.0,2019-08-31T14:00:00Z,12,36,0,0,0,0,4,0,882644,0,4,19.0,6,-168142,36681,204823,79,True,0,PRNRTKRFLTMTSLFFK,3,76,43,4
70,209362,Bernardo_Fernandes da Silva Junior_39,0,0,11,0,15.8,39,37,3,0,2.9,10.8,2019-08-31T14:00:00Z,66,43,0,0,0,0,4,0,9835,0,4,2.0,1,-719,188,907,45,False,0,PRNRTTFRNNTSJNRSLF,2,43,36,0
71,100649,Bernard_AnÃÂÃÂ­cio Caldeira Duarte_152,0,0,3,0,1.5,152,35,0,0,1.6,2.8,2019-09-01T13:00:00Z,14,39,0,0,0,0,4,0,157751,2,3,12.0,1,7654,42116,34462,65,True,0,ANSPRNRTKLTRTRT,3,64,11,1
72,80201,Bernd_Leno_14,0,0,21,0,0.0,14,31,2,0,3.0,29.6,2019-09-01T15:30:00Z,90,6,0,0,0,0,4,7,402670,2,2,0.0,3,-21012,19796,40808,50,True,0,PRNTLN,1,48,3,2
73,243568,Billy_Gilmour_533,0,0,1,0,0.8,533,33,1,0,0.1,0.4,2019-08-31T14:00:00Z,6,49,0,0,0,0,4,0,0,2,2,0.0,1,0,0,0,45,True,0,PLJLMR,3,41,8,0
74,18867,Billy_Sharp_298,0,0,0,0,0.0,298,33,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,8,0,0,0,0,4,0,51957,2,2,0.0,0,-20364,1740,22104,59,False,0,PLXRP,4,52,49,-2
75,27770,Birkir_Bjarnason_33,0,0,0,0,0.0,33,34,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,31,0,0,0,0,4,0,4839,0,1,0.0,0,-942,56,998,45,False,0,PRKRPJRNSN,3,45,7,0
76,108156,Bjorn_Engels_455,0,0,17,0,0.9,455,34,1,0,2.0,19.0,2019-08-31T14:00:00Z,90,31,0,0,0,0,4,0,29719,0,1,0.0,2,16057,20898,4841,45,False,0,PJRNNJLS,2,43,7,7
77,209046,Callum_Hudson-Odoi_116,0,0,0,0,0.0,116,33,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,49,0,0,0,0,4,0,7975,2,2,0.0,0,-839,541,1380,60,True,0,KLMTSNT,3,51,8,0
78,171975,Callum_Robinson_453,1,1,23,0,4.0,453,33,2,1,7.8,34.0,2019-08-31T14:00:00Z,90,8,0,0,0,0,4,0,30672,2,2,40.0,11,-11416,506,11922,53,False,0,KLMRPNSN,3,49,49,1
79,193109,Callum_Slattery_327,0,0,0,0,0.0,327,39,0,0,0.0,0.0,2019-08-31T11:30:00Z,0,1,0,0,0,0,4,0,11396,1,1,0.0,0,-845,333,1178,45,True,0,KLMSLTR,3,44,20,0
