,code,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,prev_total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,position,init_price,team_code,total_points
0,121160,Ederson_Santana de Moraes_212,0,0,0,0,0.0,212,205,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,11,0,0,0,0,21,0,893489,1,2,0.0,0,-33884,4712,38596,60,True,0,TTRSNMRSSNTN,1,61,43,2
1,68312,Xherdan_Shaqiri_194,0,0,0,0,0.0,194,204,0,0,0.0,0.0,2020-01-02T20:00:00Z,0,49,0,0,0,0,21,0,18100,0,2,0.0,0,-1015,181,1196,63,True,0,XKRKSRTN,3,63,14,1
2,37915,Hugo_Lloris_340,0,0,0,0,0.0,340,208,0,0,0.0,0.0,2020-01-01T15:00:00Z,0,20,0,0,0,0,21,0,242421,0,1,0.0,0,-2587,69,2656,53,False,0,HKLRS,1,53,6,0
3,66838,Cenk_Tosun_146,0,0,0,0,0.0,146,205,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,43,0,0,0,0,21,0,7887,1,2,0.0,0,-133,100,233,57,False,0,SNKTSN,4,57,11,1
4,171975,Callum_Robinson_453,0,0,0,0,0.0,453,204,0,0,0.0,0.0,2020-01-02T20:00:00Z,0,14,0,0,0,0,21,0,19885,0,2,0.0,0,-556,117,673,50,False,0,KLMRPNSN,3,49,49,0
5,85971,Heung-Min_Son_342,0,0,0,0,0.0,342,208,0,0,0.0,0.0,2020-01-01T15:00:00Z,0,20,0,0,0,0,21,0,400887,0,1,0.0,0,-93183,3863,97046,98,False,0,HNKMNSN,3,97,6,2
6,19624,JoÃÂÃÂ£o Filipe Iria_Santos Moutinho_415,1,1,26,0,36.6,415,209,2,0,8.9,35.8,2020-01-01T15:00:00Z,90,57,0,0,0,0,21,0,394632,1,2,17.0,6,-9723,21391,31114,54,False,0,FLPRJMTNSNTS,3,53,39,6
7,122798,Andrew_Robertson_181,1,3,46,1,0.0,181,204,0,0,0.0,0.0,2020-01-02T20:00:00Z,87,49,0,0,0,0,21,0,1360684,0,2,0.0,12,-15332,39146,54478,70,True,0,ANTRRPRTSN,2,70,14,6
8,38290,Danny_Rose_332,0,0,0,0,0.0,332,208,0,0,0.0,0.0,2020-01-01T15:00:00Z,0,20,0,0,0,0,21,0,99358,0,1,0.0,0,-2549,474,3023,53,False,0,TNRS,2,53,4,2
9,58786,Martin_Kelly_128,0,0,7,0,15.3,128,207,1,0,2.8,12.6,2020-01-01T17:30:00Z,82,45,0,0,0,0,21,0,2369485,1,1,0.0,2,9726,69451,59725,44,False,0,KLMRTN,2,41,31,2
