,code,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,prev_total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,position,init_price,team_code,total_points
0,240143,Ibrahima Diallo,0,0,0,0,0.0,565,251,0,0,0.0,0.0,2021-03-01T20:00:00Z,0,11,0,0,0,0,26,0,1603,0,1,0.0,0,-84,54,138,45,False,0,TLPRHM,3,45,20,3
1,101537,Felipe Anderson Pereira Gomes,0,0,0,0,0.0,440,254,0,0,0.0,0.0,2021-02-27T12:30:00Z,0,43,0,0,0,0,26,0,9122,1,2,0.0,0,-27,0,27,61,False,0,ANTRSNFLPKMSPRR,3,61,21,0
2,103955,Raheem Sterling,0,0,0,0,0.0,276,254,0,0,0.0,0.0,2021-02-27T12:30:00Z,0,21,0,0,0,0,26,0,962115,1,2,0.0,0,-58272,80053,138325,116,True,0,RHMSTRLNK,3,109,43,2
3,43670,Juan Mata,0,0,0,0,0.0,290,249,0,0,0.0,0.0,2021-02-28T16:30:00Z,0,8,0,0,0,0,26,0,10497,0,0,0.0,0,-104,93,197,58,False,0,JNMT,3,58,1,0
4,233425,Aaron Connolly,0,0,3,0,0.4,78,258,1,0,4.0,1.0,2021-02-27T15:00:00Z,60,35,0,0,0,0,26,0,24448,0,1,39.0,2,-82,1075,1157,52,False,0,ARNKNL,4,52,36,0
5,79934,Oliver Norwood,0,0,20,0,33.8,349,256,2,0,5.5,20.0,2021-02-28T19:15:00Z,90,14,0,0,0,0,26,0,10213,2,0,1.0,2,-186,142,328,45,True,0,NRTLFR,3,45,49,1
6,38716,Lee Peltier,0,0,0,0,0.0,600,258,0,0,0.0,0.0,2021-02-27T15:00:00Z,0,36,0,0,0,0,26,0,5133,0,1,0.0,0,-38,329,367,40,True,0,LPLT,2,39,35,0
7,432927,Daniel Langley,0,0,0,0,0.0,606,255,0,0,0.0,0.0,2021-02-27T20:00:00Z,0,39,0,0,0,0,26,0,5377,1,1,0.0,0,-226,402,628,40,True,0,TNLLNKL,1,39,4,0
8,82403,Wilfried Zaha,0,0,0,0,0.0,141,250,0,0,0.0,0.0,2021-02-28T12:00:00Z,0,54,0,0,0,0,26,0,671010,0,0,0.0,0,-35146,447,35593,71,True,0,ALFRTSH,3,71,31,1
9,220037,Bailey Peacock-Farrell,0,0,0,0,0.0,99,257,0,0,0.0,0.0,2021-02-28T14:00:00Z,0,6,0,0,0,0,26,0,95974,0,4,0.0,0,-5012,745,5757,40,False,0,PLFRLPKK,1,40,90,0
