,code,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,prev_total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,position,init_price,team_code,total_points
0,58845,Ciaran Clark,0,0,15,0,0.3,324,279,3,0,1.9,18.6,2021-03-20T20:00:00Z,90,36,0,0,0,0,29,0,19815,0,3,0.0,1,2573,3864,1291,45,False,0,SRNKLRK,2,45,4,0
1,56983,Matt Ritchie,0,0,0,0,0.0,322,279,0,0,0.0,0.0,2021-03-20T20:00:00Z,0,36,0,0,0,0,29,0,3394,0,3,0.0,0,36,84,48,49,False,0,MTRX,3,49,4,2
2,203325,AndrÃÂ©-Frank Zambo Anguissa,0,0,1,0,13.2,191,282,2,0,5.0,17.2,2021-03-19T20:00:00Z,90,2,0,0,0,0,29,0,117355,2,1,20.0,2,9,3262,3253,45,True,0,ANTRNKSFRNKSMP,3,44,54,0
3,170271,Jean MichaÃÂ«l Seri,0,0,0,0,0.0,189,282,0,0,0.0,0.0,2021-03-19T20:00:00Z,0,2,0,0,0,0,29,0,2201,2,1,0.0,0,-5,0,5,46,True,0,JNMXLSR,3,46,54,0
4,467114,Oliver Casey,0,0,0,0,0.0,215,282,0,0,0.0,0.0,2021-03-19T20:00:00Z,0,54,0,0,0,0,29,0,75802,2,1,0.0,0,-1200,357,1557,39,False,0,KSLFR,2,38,2,0
5,111457,Sead Kolasinac,0,0,0,0,0.0,14,288,0,0,0.0,0.0,2021-03-21T15:00:00Z,0,21,0,0,0,0,29,0,8955,3,3,0.0,0,-27,0,27,48,False,0,KLSNKST,2,48,3,0
6,108813,Christian Walton,0,0,0,0,0.0,503,279,0,0,0.0,0.0,2021-03-20T20:00:00Z,0,4,0,0,0,0,29,0,91880,0,3,0.0,0,-1146,271,1417,40,True,0,KRSXNLTN,1,40,36,0
7,492373,Charlie Cresswell,0,0,0,0,0.0,620,282,0,0,0.0,0.0,2021-03-19T20:00:00Z,0,54,0,0,0,0,29,0,7016,2,1,0.0,0,7,378,371,40,False,0,XRLKRSL,2,40,2,0
8,41270,David Luiz Moreira Marinho,0,0,17,0,1.0,3,288,3,0,3.1,20.0,2021-03-21T15:00:00Z,90,21,0,0,0,0,29,0,92390,3,3,10.0,1,10883,12847,1964,54,False,0,TFTLSMRNMRR,2,54,3,0
9,114283,Jack Grealish,0,0,0,0,0.0,37,170,0,0,0.0,0.0,2021-03-21T19:30:00Z,0,6,0,0,0,0,29,0,1446685,2,0,0.0,0,-62123,16920,79043,75,True,0,KRLXJK,3,75,7,0
10,101537,Felipe Anderson Pereira Gomes,0,0,0,0,0.0,440,288,0,0,0.0,0.0,2021-03-21T15:00:00Z,0,3,0,0,0,0,29,0,9048,3,3,0.0,0,-24,0,24,61,True,0,ANTRSNFLPKMSPRR,3,61,21,0
11,231372,Tanguy Ndombele,0,0,19,1,2.5,405,170,0,0,1.8,12.4,2021-03-21T19:30:00Z,80,7,0,0,0,0,29,0,53226,2,0,3.0,3,5480,7048,1568,59,False,0,NTMPLTNK,3,59,6,7
12,37605,Mesut ÃÂzil,0,0,0,0,0.0,1,288,0,0,0.0,0.0,2021-03-21T15:00:00Z,0,21,0,0,0,0,29,0,41707,3,3,0.0,0,-48,0,48,67,False,0,ASLMST,3,67,3,0
13,209288,Thomas McGill,0,0,0,0,0.0,662,279,0,0,0.0,0.0,2021-03-20T20:00:00Z,0,4,0,0,0,0,29,0,28399,0,3,0.0,0,-1666,713,2379,39,True,0,MKLTMS,1,39,36,0
14,20529,Glenn Murray,0,0,0,0,0.0,53,279,0,0,0.0,0.0,2021-03-20T20:00:00Z,0,4,0,0,0,0,29,0,6430,0,3,0.0,0,-27,0,27,48,True,0,KLNMR,4,48,36,0
15,80226,Serge Aurier,0,0,0,0,0.0,389,170,0,0,0.0,0.0,2021-03-21T19:30:00Z,0,7,0,0,0,0,29,0,112613,2,0,0.0,0,1002,2499,1497,52,False,0,ARRSRJ,2,52,6,0
16,196118,Yoshinori Muto,0,0,0,0,0.0,341,279,0,0,0.0,0.0,2021-03-20T20:00:00Z,0,36,0,0,0,0,29,0,6922,0,3,0.0,0,-14,0,14,48,False,0,MTXNR,4,48,4,0
17,463912,Elia Caprile,0,0,0,0,0.0,532,282,0,0,0.0,0.0,2021-03-19T20:00:00Z,0,54,0,0,0,0,29,0,19993,2,1,0.0,0,-348,123,471,40,False,0,KPRLL,1,40,2,0
18,153127,Isaac Hayden,0,0,4,0,2.0,336,279,0,0,1.1,4.6,2021-03-20T20:00:00Z,45,36,0,0,0,0,29,0,4991,0,3,4.0,1,403,612,209,46,False,0,HTNSK,3,46,4,0
19,109646,Tosin Adarabioyo,0,0,16,0,0.8,572,282,2,0,2.8,24.8,2021-03-19T20:00:00Z,90,2,0,0,0,0,29,0,83068,2,1,2.0,1,16892,19143,2251,45,True,0,ATRPTSN,2,45,54,1
20,59735,Karl Darlow,0,0,0,0,0.0,325,279,0,0,0.0,0.0,2021-03-20T20:00:00Z,0,36,0,0,0,0,29,0,131483,0,3,0.0,0,1135,6547,5412,50,False,0,TRLKRL,1,49,4,0
21,76357,Tom Cairney,0,0,0,0,0.0,175,282,0,0,0.0,0.0,2021-03-19T20:00:00Z,0,2,0,0,0,0,29,0,6355,2,1,0.0,0,-72,39,111,52,True,0,KRNTM,3,52,54,0
22,47431,Willian Borges Da Silva,0,0,0,0,0.0,478,288,0,0,0.0,0.0,2021-03-21T15:00:00Z,0,21,0,0,0,0,29,0,244050,3,3,0.0,0,7253,12634,5381,75,False,0,PRJSTSLFLN,3,75,3,0
23,85971,Heung-Min Son,0,0,0,0,0.0,390,170,0,0,0.0,0.0,2021-03-21T19:30:00Z,0,7,0,0,0,0,29,0,3660152,2,0,0.0,0,-665749,46279,712028,95,False,0,HNKMNSN,3,96,6,1
24,199584,Japhet Tanganga,0,0,22,1,0.9,402,170,0,0,2.3,22.4,2021-03-21T19:30:00Z,90,7,0,0,0,0,29,0,4176,2,0,0.0,6,-20,56,76,49,False,0,JFTTNKNK,2,49,6,0
25,21205,Tom Heaton,0,0,0,0,0.0,28,170,0,0,0.0,0.0,2021-03-21T19:30:00Z,0,6,0,0,0,0,29,0,6028,2,0,0.0,0,24,165,141,45,True,0,HTNTM,1,45,7,0
26,98980,Emiliano MartÃÂ­nez,0,0,8,0,0.0,12,170,2,0,0.8,8.2,2021-03-21T19:30:00Z,90,6,0,0,0,0,29,1,3360139,2,0,0.0,1,35862,63285,27423,54,True,0,AMLNMRTNS,1,53,7,4
27,15749,Joe Hart,0,0,0,0,0.0,482,170,0,0,0.0,0.0,2021-03-21T19:30:00Z,0,7,0,0,0,0,29,0,45496,2,0,0.0,0,-231,200,431,43,False,0,HRTJ,1,42,6,0
28,81012,Ryan Fredericks,0,0,1,0,0.1,438,288,1,0,0.0,0.0,2021-03-21T15:00:00Z,11,3,0,0,0,0,29,0,15412,3,3,0.0,1,-414,14,428,42,True,0,FRTRKSRN,2,42,21,0
29,96994,Bobby Decordova-Reid,0,0,0,0,0.0,181,282,0,0,0.0,0.0,2021-03-19T20:00:00Z,0,2,0,0,0,0,29,0,64386,2,1,0.0,0,-16534,1533,18067,53,True,0,PPTKRTFRT,4,53,54,1
30,164555,Vladimir Coufal,0,0,11,0,26.1,558,288,3,0,5.8,27.6,2021-03-21T15:00:00Z,90,3,0,0,0,0,29,0,451348,3,3,4.0,0,17685,28363,10678,46,True,1,KFLFLTMR,2,48,21,4
31,166324,Ivan Ricardo Neves Abreu Cavaleiro,0,0,7,0,6.5,187,282,2,0,3.8,13.0,2021-03-19T20:00:00Z,90,2,0,0,0,0,29,0,17199,2,1,18.0,2,4417,5193,776,53,True,0,APRKFLRFNNFSRKRT,3,53,54,1
32,40669,Angelo Ogbonna,0,0,0,0,0.0,432,288,0,0,0.0,0.0,2021-03-21T15:00:00Z,0,3,0,0,0,0,29,0,70400,3,3,0.0,0,-5222,69,5291,48,True,0,ANJLKPN,2,47,21,0
33,214987,Kamil Miazek,0,0,0,0,0.0,208,282,0,0,0.0,0.0,2021-03-19T20:00:00Z,0,54,0,0,0,0,29,0,66125,2,1,0.0,0,-738,0,738,40,False,0,KMLMSK,1,40,2,0
34,204480,Declan Rice,0,0,15,0,2.3,448,288,3,0,4.0,20.2,2021-03-21T15:00:00Z,90,3,0,0,0,0,29,0,189892,3,3,17.0,2,5234,8564,3330,47,True,0,TKLNRS,3,47,21,0
35,50175,Danny Welbeck,0,0,31,1,12.6,588,279,0,1,5.8,34.8,2021-03-20T20:00:00Z,83,4,0,0,0,0,29,0,42846,0,3,11.0,6,14723,16315,1592,55,True,0,TNLPK,4,55,36,9
36,486870,Frederik Alves,0,0,0,0,0.0,637,288,0,0,0.0,0.0,2021-03-21T15:00:00Z,0,3,0,0,0,0,29,0,2667,3,3,0.0,0,-14,116,130,40,True,0,ALFSFRTRK,2,40,21,0
37,437495,Illan Meslier,0,0,21,0,0.0,213,282,1,0,3.3,33.2,2021-03-19T20:00:00Z,90,54,0,0,0,0,29,5,635280,2,1,0.0,3,89468,96394,6926,46,False,0,ALNMSL,1,48,2,2
38,226597,Gabriel MagalhÃÂ£es,0,0,0,0,0.0,494,288,0,0,0.0,0.0,2021-03-21T15:00:00Z,0,21,0,0,0,0,29,0,372314,3,3,0.0,0,2895,4829,1934,49,False,0,KPRLMKLS,2,49,3,0
39,50232,Jonjo Shelvey,0,0,15,0,14.8,321,279,3,0,3.0,15.0,2021-03-20T20:00:00Z,90,36,0,0,0,0,29,0,20191,0,3,0.0,2,4246,5182,936,53,False,0,JNJXLF,3,53,4,1
40,98745,HÃÂ©ctor BellerÃÂ­n,0,0,0,0,0.0,11,288,0,0,0.0,0.0,2021-03-21T15:00:00Z,0,21,0,0,0,0,29,0,356906,3,3,0.0,0,4918,16699,11781,51,False,0,PLRNKTR,2,50,3,0
41,165808,HÃÂ©lder Wander Sousa de Azevedo e Costa,0,0,0,0,0.0,205,282,0,0,0.0,0.0,2021-03-19T20:00:00Z,0,54,0,0,0,0,29,0,182606,2,1,0.0,0,1428,2741,1313,50,False,0,ASFTKSTTLTRSSNTR,3,50,2,0
42,106617,Patrick Bamford,1,3,39,0,13.9,202,282,1,1,9.4,57.4,2021-03-19T20:00:00Z,76,54,0,0,0,0,29,0,3872622,2,1,23.0,11,-193158,88156,281314,67,False,1,PMFRTPTRK,4,66,2,2
43,105717,Arthur Masuaku,0,0,0,0,0.0,442,288,0,0,0.0,0.0,2021-03-21T15:00:00Z,0,3,0,0,0,0,29,0,30637,3,3,0.0,0,-267,20,287,43,True,0,AR0RMSK,2,43,21,5
44,58822,CÃÂ©dric Soares,0,0,0,0,0.0,5,288,0,0,0.0,0.0,2021-03-21T15:00:00Z,0,21,0,0,0,0,29,0,24340,3,3,0.0,0,1192,1914,722,46,False,0,KTRKSRS,2,46,3,0
45,209289,Emile Smith Rowe,0,0,4,0,11.3,23,288,0,0,1.5,3.6,2021-03-21T15:00:00Z,16,21,0,0,0,0,29,0,184049,3,3,0.0,1,20744,27242,6498,42,False,0,AMLRSM0,3,42,3,0
46,480216,Mateusz Bogusz,0,0,0,0,0.0,533,282,0,0,0.0,0.0,2021-03-19T20:00:00Z,0,54,0,0,0,0,29,0,779,2,1,0.0,0,-3,0,3,43,False,0,PKSMTS,3,43,2,0
47,170137,Allan Saint-Maximin,0,0,0,0,0.0,338,279,0,0,0.0,0.0,2021-03-20T20:00:00Z,0,36,0,0,0,0,29,0,182643,0,3,0.0,0,-2852,139,2991,51,False,0,ALNMKSMNSNT,3,52,4,1
48,101148,Jamaal Lascelles,0,0,13,0,0.3,328,279,3,0,1.9,19.0,2021-03-20T20:00:00Z,90,36,0,0,0,0,29,0,224315,0,3,0.0,1,75549,79471,3922,42,False,0,JMLLSLS,2,42,4,1
49,61916,Stefan Johansen,0,0,0,0,0.0,174,282,0,0,0.0,0.0,2021-03-19T20:00:00Z,0,2,0,0,0,0,29,0,1134,2,1,0.0,0,-2,0,2,47,True,0,JHNSNSTFN,3,47,54,0
